PC,Address,RW
0x4000d8,0x100000000,W
0x400000,0x100001000,W
0x40012c,0x100002000,W
0x400108,0x100003000,W
0x400178,0x100004000,R
0x400048,0x100005000,W
0x4001b0,0x100006000,W
0x4000f4,0x100007000,W
0x400120,0x100008000,R
0x4000fc,0x100009000,R
0x40005c,0x10000a000,R
0x4000f4,0x10000b000,R
0x400080,0x10000c000,R
0x40012c,0x10000d000,R
0x400068,0x10000e000,R
0x40004c,0x10000f000,W
0x400174,0x100010000,R
0x4001dc,0x100011000,R
0x4001a4,0x100012000,R
0x400108,0x100013000,R
0x400080,0x100014000,R
0x400178,0x100015000,R
0x400004,0x100016000,W
0x400078,0x100017000,R
0x400084,0x100018000,R
0x4001c8,0x100019000,W
0x40016c,0x10001a000,R
0x4001a8,0x10001b000,R
0x4000b4,0x10001c000,R
0x4000c4,0x10001d000,R
0x4001f0,0x10001e000,W
0x4001b4,0x10001f000,R
0x4001cc,0x100020000,R
0x400090,0x100021000,R
0x400154,0x100022000,R
0x40010c,0x100023000,R
0x400070,0x100024000,R
0x400170,0x100025000,R
0x4000b4,0x100026000,R
0x40008c,0x100027000,R
0x40019c,0x100028000,R
0x400170,0x100029000,R
0x4000e4,0x10002a000,R
0x400140,0x10002b000,R
0x400190,0x10002c000,R
0x400040,0x10002d000,R
0x400134,0x10002e000,R
0x400034,0x10002f000,R
0x400014,0x100030000,R
0x4001d4,0x100031000,R
0x40015c,0x100032000,R
0x4000e0,0x100033000,R
0x400104,0x100034000,R
0x4001d0,0x100035000,R
0x400178,0x100036000,R
0x40018c,0x100037000,R
0x4000c0,0x100038000,R
0x400064,0x100039000,R
0x40013c,0x10003a000,R
0x400084,0x10003b000,R
0x40015c,0x10003c000,R
0x40002c,0x10003d000,R
0x400120,0x10003e000,R
0x4000e8,0x10003f000,R
0x400180,0x100040000,R
0x400158,0x100041000,R
0x4001fc,0x100042000,R
0x4001e4,0x100043000,R
0x40005c,0x100044000,R
0x400180,0x100045000,R
0x400148,0x100046000,W
0x4001ec,0x100047000,R
0x400030,0x100048000,R
0x400174,0x100049000,R
0x4001a4,0x10004a000,R
0x4000d0,0x10004b000,R
0x400040,0x10004c000,R
0x4000b8,0x10004d000,R
0x4000f8,0x10004e000,R
0x4000d4,0x10004f000,R
0x4001c0,0x100050000,R
0x40015c,0x100051000,R
0x400074,0x100052000,R
0x400150,0x100053000,R
0x40009c,0x100054000,R
0x400030,0x100055000,R
0x400194,0x100056000,R
0x40007c,0x100057000,R
0x400124,0x100058000,R
0x400054,0x100059000,R
0x400154,0x10005a000,R
0x400128,0x10005b000,R
0x4000fc,0x10005c000,R
0x4001d8,0x10005d000,R
0x400064,0x10005e000,R
0x4001b8,0x10005f000,R
0x4001c4,0x100060000,R
0x4001d8,0x100061000,R
0x4001e4,0x100062000,R
0x400030,0x100063000,R
0x400100,0x100064000,R
0x4000ac,0x100065000,R
0x4001b4,0x100066000,R
0x4000b0,0x100067000,R
0x4001f4,0x100068000,R
0x400168,0x100069000,R
0x400124,0x10006a000,R
0x4001b4,0x10006b000,R
0x4000e4,0x10006c000,W
0x4001ec,0x10006d000,R
0x4000f8,0x10006e000,R
0x4000cc,0x10006f000,R
0x40002c,0x100070000,R
0x40012c,0x100071000,R
0x40004c,0x100072000,R
0x400000,0x100073000,R
0x400068,0x100074000,R
0x4001e4,0x100075000,R
0x4001e0,0x100076000,R
0x400010,0x100077000,R
0x4000a8,0x100078000,R
0x4000f0,0x100079000,R
0x400060,0x10007a000,R
0x4001bc,0x10007b000,W
0x4001a8,0x10007c000,R
0x400034,0x10007d000,R
0x4001ec,0x10007e000,R
0x4000dc,0x10007f000,R
0x400198,0x100080000,R
0x400164,0x100081000,R
0x4001fc,0x100082000,R
0x4001fc,0x100083000,R
0x400098,0x100084000,R
0x40010c,0x100085000,R
0x4000e4,0x100086000,R
0x4001b8,0x100087000,R
0x4001a8,0x100088000,R
0x4001a0,0x100089000,R
0x400054,0x10008a000,R
0x40000c,0x10008b000,R
0x400040,0x10008c000,R
0x4001d8,0x10008d000,W
0x4001dc,0x10008e000,R
0x400114,0x10008f000,R
0x400054,0x100090000,R
0x40019c,0x100091000,R
0x400168,0x100092000,R
0x4000d8,0x100093000,R
0x400134,0x100094000,R
0x4001c8,0x100095000,R
0x400108,0x100096000,R
0x4000b8,0x100097000,R
0x4000c8,0x100098000,R
0x4000d0,0x100099000,R
0x4000a0,0x10009a000,R
0x400188,0x10009b000,R
0x400148,0x10009c000,R
0x4001e8,0x10009d000,R
0x40004c,0x10009e000,W
0x4001b0,0x10009f000,W
0x400198,0x1000a0000,R
0x400150,0x1000a1000,R
0x4000e0,0x1000a2000,R
0x4001ec,0x1000a3000,R
0x400190,0x1000a4000,R
0x400180,0x1000a5000,R
0x4001ac,0x1000a6000,R
0x400034,0x1000a7000,W
0x4000cc,0x1000a8000,R
0x400134,0x1000a9000,R
0x400064,0x1000aa000,R
0x4001f0,0x1000ab000,R
0x4000c8,0x1000ac000,W
0x400014,0x1000ad000,R
0x4000a8,0x1000ae000,R
0x400140,0x1000af000,R
0x4001bc,0x1000b0000,R
0x400114,0x1000b1000,R
0x400138,0x1000b2000,R
0x400178,0x1000b3000,R
0x40015c,0x1000b4000,R
0x400008,0x1000b5000,R
0x4000b8,0x1000b6000,R
0x400140,0x1000b7000,R
0x4001bc,0x1000b8000,R
0x400184,0x1000b9000,R
0x40016c,0x1000ba000,R
0x40002c,0x1000bb000,R
0x400124,0x1000bc000,R
0x400144,0x1000bd000,W
0x4000e4,0x1000be000,R
0x400138,0x1000bf000,R
0x4001b8,0x1000c0000,R
0x400100,0x1000c1000,R
0x400038,0x1000c2000,R
0x400094,0x1000c3000,R
0x4001bc,0x1000c4000,R
0x400060,0x1000c5000,R
0x40011c,0x1000c6000,R
0x400134,0x1000c7000,R
0x4001ec,0x1000c8000,R
0x40016c,0x1000c9000,R
0x40008c,0x1000ca000,R
0x40000c,0x1000cb000,R
0x40008c,0x1000cc000,R
0x400048,0x1000cd000,R
0x40005c,0x1000ce000,R
0x4001f8,0x1000cf000,R
0x4001dc,0x1000d0000,R
0x4000e4,0x1000d1000,R
0x400044,0x1000d2000,W
0x400184,0x1000d3000,R
0x400180,0x1000d4000,R
0x400034,0x1000d5000,R
0x4001d0,0x1000d6000,R
0x4000f0,0x1000d7000,R
0x4001d8,0x1000d8000,R
0x400160,0x1000d9000,R
0x4001a0,0x1000da000,R
0x40011c,0x1000db000,R
0x400100,0x1000dc000,R
