workload,policy,proactive_demotions_mean,early_reuse_64_pct,early_reuse_256_pct,early_reuse_1024_pct,no_future_reuse_pct
blackscholes,CAPD,29252,8.42,48.09,92.81,0.08
blackscholes,TPP-inspired,40090,48.02,78.04,96.98,0.04
canneal,CAPD,2409,0,0,0,100
canneal,TPP-inspired,2409,0,0,0,100
dedup,CAPD,345,0,0,0,100
dedup,TPP-inspired,345,0,0,0,100
fluidanimate,CAPD,0,NA,NA,NA,NA
fluidanimate,TPP-inspired,0,NA,NA,NA,NA
streamcluster,CAPD,3,0,0,0,100
streamcluster,TPP-inspired,3,0,0,0,100
swaptions,CAPD,8510,63.11,81.45,91.88,0.26
swaptions,TPP-inspired,9260,67.67,82.85,91.71,0.25
