workload,split,capacity_ratio,dram_capacity_pages,F_low,F_target,b_max,legal,default_weighted_cost,dram_hits,nvm_reads,nvm_writes,total_demotions,proactive_demotions,early_reuse_rate,number_of_proactive_rounds,rounds_per_cycle,emergency_demotions,free_frame_exhaustion_count
canneal,validation,0.2,512,2,4,1,True,208417,198783,1197,20,708,708,0.0,708,,0,0
canneal,validation,0.2,512,2,4,2,True,208417,198783,1197,20,708,708,0.0,472,,0,0
canneal,validation,0.2,512,2,4,4,True,208417,198783,1197,20,708,708,0.0,236,,0,0
canneal,validation,0.4,1024,2,4,1,True,201999,198901,1079,20,78,78,0.0,78,,0,0
canneal,validation,0.4,1024,2,4,2,True,201999,198901,1079,20,78,78,0.0,52,,0,0
canneal,validation,0.4,1024,2,4,4,True,201999,198901,1079,20,78,78,0.0,26,,0,0
canneal,validation,0.6,1536,2,4,1,True,201216,198904,1076,20,0,0,,0,,0,0
canneal,validation,0.6,1536,2,4,2,True,201216,198904,1076,20,0,0,,0,,0,0
canneal,validation,0.6,1536,2,4,4,True,201216,198904,1076,20,0,0,,0,,0,0
dedup_pressure,validation,0.2,1389,2,4,1,True,1021142,997470,1333,1197,1143,1143,0.0,1143,,0,0
dedup_pressure,validation,0.2,1389,2,4,2,True,1021142,997470,1333,1197,1143,1143,0.0,762,,0,0
dedup_pressure,validation,0.2,1389,2,4,4,True,1021142,997470,1333,1197,1143,1143,0.0,381,,0,0
dedup_pressure,validation,0.4,2778,2,4,1,True,1009710,997472,1331,1197,0,0,,0,,0,0
dedup_pressure,validation,0.4,2778,2,4,2,True,1009710,997472,1331,1197,0,0,,0,,0,0
dedup_pressure,validation,0.4,2778,2,4,4,True,1009710,997472,1331,1197,0,0,,0,,0,0
dedup_pressure,validation,0.6,4167,2,4,1,True,1009710,997472,1331,1197,0,0,,0,,0,0
dedup_pressure,validation,0.6,4167,2,4,2,True,1009710,997472,1331,1197,0,0,,0,,0,0
dedup_pressure,validation,0.6,4167,2,4,4,True,1009710,997472,1331,1197,0,0,,0,,0,0
streamcluster_pressure,validation,0.2,1861,2,4,1,True,211144,197298,2700,2,843,843,0.0,843,,0,0
streamcluster_pressure,validation,0.2,1861,2,4,2,True,211144,197298,2700,2,843,843,0.0,562,,0,0
streamcluster_pressure,validation,0.2,1861,2,4,4,True,211144,197298,2700,2,843,843,0.0,281,,0,0
streamcluster_pressure,validation,0.4,3722,2,4,1,True,202697,197315,2683,2,0,0,,0,,0,0
streamcluster_pressure,validation,0.4,3722,2,4,2,True,202697,197315,2683,2,0,0,,0,,0,0
streamcluster_pressure,validation,0.4,3722,2,4,4,True,202697,197315,2683,2,0,0,,0,,0,0
streamcluster_pressure,validation,0.6,5582,2,4,1,True,202697,197315,2683,2,0,0,,0,,0,0
streamcluster_pressure,validation,0.6,5582,2,4,2,True,202697,197315,2683,2,0,0,,0,,0,0
streamcluster_pressure,validation,0.6,5582,2,4,4,True,202697,197315,2683,2,0,0,,0,,0,0
