workload,split,capacity_ratio,dram_capacity_pages,watermark_label,F_low,F_target,legal,free_frame_exhaustion_count,emergency_demotions,total_demotions,proactive_demotions,reactive_demotions,early_reuse_count,early_reuse_rate,nvm_reads,nvm_writes,number_of_proactive_cycles,number_of_proactive_rounds,rounds_per_cycle,minimum_free_frames,average_free_frames,accesses_below_F_low
canneal,validation,0.2,512,small,1,2,True,471,235,705,470,0,0,0.0,1197,20,235,470,,0,74.47894,42536
canneal,validation,0.2,512,medium,2,4,True,0,0,708,708,0,0,0.0,1197,20,236,708,,1,75.762055,236
canneal,validation,0.2,512,large,4,7,True,0,0,712,712,0,1,0.0014044943820224719,1198,20,178,712,,3,77.359325,178
canneal,validation,0.4,1024,small,1,2,True,51,25,75,50,0,0,0.0,1079,20,25,50,,0,388.62076,4651
canneal,validation,0.4,1024,medium,2,4,True,0,0,78,78,0,0,0.0,1079,20,26,78,,1,388.779055,26
canneal,validation,0.4,1024,large,4,7,True,0,0,80,80,0,0,0.0,1079,20,20,80,,3,389.042135,20
canneal,validation,0.6,1536,small,1,2,True,0,0,0,0,0,0,,1076,20,0,0,,440,896.85673,0
canneal,validation,0.6,1536,medium,2,4,True,0,0,0,0,0,0,,1076,20,0,0,,440,896.85673,0
canneal,validation,0.6,1536,large,4,7,True,0,0,0,0,0,0,,1076,20,0,0,,440,896.85673,0
dedup_pressure,validation,0.2,1389,small,1,2,True,762,381,1143,762,0,0,0.0,1333,1197,381,762,,0,375.33391,157996
dedup_pressure,validation,0.2,1389,medium,2,4,True,0,0,1143,1143,0,0,0.0,1333,1197,381,1143,,1,376.275565,381
dedup_pressure,validation,0.2,1389,large,4,7,True,0,0,1148,1148,0,0,0.0,1333,1197,287,1148,,3,377.528783,287
dedup_pressure,validation,0.4,2778,small,1,2,True,0,0,0,0,0,0,,1331,1197,0,0,,250,1462.393287,0
dedup_pressure,validation,0.4,2778,medium,2,4,True,0,0,0,0,0,0,,1331,1197,0,0,,250,1462.393287,0
dedup_pressure,validation,0.4,2778,large,4,7,True,0,0,0,0,0,0,,1331,1197,0,0,,250,1462.393287,0
dedup_pressure,validation,0.6,4167,small,1,2,True,0,0,0,0,0,0,,1331,1197,0,0,,1639,2851.393287,0
dedup_pressure,validation,0.6,4167,medium,2,4,True,0,0,0,0,0,0,,1331,1197,0,0,,1639,2851.393287,0
dedup_pressure,validation,0.6,4167,large,4,7,True,0,0,0,0,0,0,,1331,1197,0,0,,1639,2851.393287,0
streamcluster_pressure,validation,0.2,1861,small,1,2,True,562,281,843,562,0,0,0.0,2700,2,281,562,,0,626.14725,21634
streamcluster_pressure,validation,0.2,1861,medium,2,4,True,0,0,843,843,0,0,0.0,2700,2,281,843,,1,626.786745,281
streamcluster_pressure,validation,0.2,1861,large,4,7,True,0,0,848,848,0,0,0.0,2700,2,212,848,,3,627.5778,212
streamcluster_pressure,validation,0.4,3722,small,1,2,True,0,0,0,0,0,0,,2683,2,0,0,,1037,2354.592865,0
streamcluster_pressure,validation,0.4,3722,medium,2,4,True,0,0,0,0,0,0,,2683,2,0,0,,1037,2354.592865,0
streamcluster_pressure,validation,0.4,3722,large,4,7,True,0,0,0,0,0,0,,2683,2,0,0,,1037,2354.592865,0
streamcluster_pressure,validation,0.6,5582,small,1,2,True,0,0,0,0,0,0,,2683,2,0,0,,2897,4214.592865,0
streamcluster_pressure,validation,0.6,5582,medium,2,4,True,0,0,0,0,0,0,,2683,2,0,0,,2897,4214.592865,0
streamcluster_pressure,validation,0.6,5582,large,4,7,True,0,0,0,0,0,0,,2683,2,0,0,,2897,4214.592865,0
