workload,source_trace_id,source_test_path,source_test_sha256,split_relative_start,split_relative_end_exclusive,source_interval_start_inclusive,source_interval_end_exclusive,raw_trace_start,raw_trace_end_exclusive,window_records,scan_step,D,F_low,F_target,unique_pages,reactive_lru_misses,reactive_lru_replacement_decisions,pressure_eligible,ineligibility_reasons,selection_features_used,candidate_content_sha256,candidate_content_sha256_semantics,contract_sha256,addendum_sha256,code_sha256,config_sha256
canneal,canneal-20260731T072730Z,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/canneal/test.csv,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48,0,500000,2400000,2900000,2400000,2900000,500000,10000,120,6,16,1195,1195,1075,True,[],"{""eligibility_filter"":[""unique_pages"",""reactive_lru_replacement_decisions""],""eligible_window_ranking"":[""source_interval.start_inclusive"",""source_interval.end_exclusive"",""source_trace_id"",""candidate_content_sha256""]}",c95c471eb3747437fc85710cf1c8a9997a4eda589d58b23dacd65c958f681649,sha256_of_normalized_source_identity_and_interval,1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,86b992bcae4ab3d89c47ac8dbc4878bfc813bdeecb162d668c8d106a47230f1b,cce4e21b4ede41b6f7d0897f60615e4774ec4cfef90dac39120470f58ee7a109,1e0680e8d5842b0f30ede9dcf3fd655e75ee3adce80f83703cbad5b43e20c326
canneal,canneal-20260731T072730Z,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/canneal/test.csv,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48,10000,510000,2410000,2910000,2410000,2910000,500000,10000,120,6,16,1195,1195,1075,True,[],"{""eligibility_filter"":[""unique_pages"",""reactive_lru_replacement_decisions""],""eligible_window_ranking"":[""source_interval.start_inclusive"",""source_interval.end_exclusive"",""source_trace_id"",""candidate_content_sha256""]}",a5f931de51c82ac60d9b62e4775eaeaafaeb033497d8f2f35dbada1f3ba22ed7,sha256_of_normalized_source_identity_and_interval,1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,86b992bcae4ab3d89c47ac8dbc4878bfc813bdeecb162d668c8d106a47230f1b,cce4e21b4ede41b6f7d0897f60615e4774ec4cfef90dac39120470f58ee7a109,1e0680e8d5842b0f30ede9dcf3fd655e75ee3adce80f83703cbad5b43e20c326
canneal,canneal-20260731T072730Z,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/canneal/test.csv,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48,20000,520000,2420000,2920000,2420000,2920000,500000,10000,120,6,16,1195,1195,1075,True,[],"{""eligibility_filter"":[""unique_pages"",""reactive_lru_replacement_decisions""],""eligible_window_ranking"":[""source_interval.start_inclusive"",""source_interval.end_exclusive"",""source_trace_id"",""candidate_content_sha256""]}",e28b7cc8bd051620e599a5cf7b0cdc6a7194d5c89695d432c7932163749eedf8,sha256_of_normalized_source_identity_and_interval,1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,86b992bcae4ab3d89c47ac8dbc4878bfc813bdeecb162d668c8d106a47230f1b,cce4e21b4ede41b6f7d0897f60615e4774ec4cfef90dac39120470f58ee7a109,1e0680e8d5842b0f30ede9dcf3fd655e75ee3adce80f83703cbad5b43e20c326
canneal,canneal-20260731T072730Z,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/canneal/test.csv,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48,30000,530000,2430000,2930000,2430000,2930000,500000,10000,120,6,16,1195,1195,1075,True,[],"{""eligibility_filter"":[""unique_pages"",""reactive_lru_replacement_decisions""],""eligible_window_ranking"":[""source_interval.start_inclusive"",""source_interval.end_exclusive"",""source_trace_id"",""candidate_content_sha256""]}",68d461c310e976ec426b1f34b15a2c19bf7ee12512617b04835cb2086a1a36b6,sha256_of_normalized_source_identity_and_interval,1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,86b992bcae4ab3d89c47ac8dbc4878bfc813bdeecb162d668c8d106a47230f1b,cce4e21b4ede41b6f7d0897f60615e4774ec4cfef90dac39120470f58ee7a109,1e0680e8d5842b0f30ede9dcf3fd655e75ee3adce80f83703cbad5b43e20c326
canneal,canneal-20260731T072730Z,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/canneal/test.csv,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48,40000,540000,2440000,2940000,2440000,2940000,500000,10000,120,6,16,1196,1196,1076,True,[],"{""eligibility_filter"":[""unique_pages"",""reactive_lru_replacement_decisions""],""eligible_window_ranking"":[""source_interval.start_inclusive"",""source_interval.end_exclusive"",""source_trace_id"",""candidate_content_sha256""]}",c46f07dccc63ae7426b254126650f578dbf7cb03122ba4df17154cab88c5d4c4,sha256_of_normalized_source_identity_and_interval,1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,86b992bcae4ab3d89c47ac8dbc4878bfc813bdeecb162d668c8d106a47230f1b,cce4e21b4ede41b6f7d0897f60615e4774ec4cfef90dac39120470f58ee7a109,1e0680e8d5842b0f30ede9dcf3fd655e75ee3adce80f83703cbad5b43e20c326
canneal,canneal-20260731T072730Z,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/canneal/test.csv,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48,50000,550000,2450000,2950000,2450000,2950000,500000,10000,120,6,16,1196,1196,1076,True,[],"{""eligibility_filter"":[""unique_pages"",""reactive_lru_replacement_decisions""],""eligible_window_ranking"":[""source_interval.start_inclusive"",""source_interval.end_exclusive"",""source_trace_id"",""candidate_content_sha256""]}",2bc798555c94db4be0d71d0921abbd4011448101c20933578c17e81700c2848a,sha256_of_normalized_source_identity_and_interval,1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,86b992bcae4ab3d89c47ac8dbc4878bfc813bdeecb162d668c8d106a47230f1b,cce4e21b4ede41b6f7d0897f60615e4774ec4cfef90dac39120470f58ee7a109,1e0680e8d5842b0f30ede9dcf3fd655e75ee3adce80f83703cbad5b43e20c326
canneal,canneal-20260731T072730Z,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/canneal/test.csv,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48,60000,560000,2460000,2960000,2460000,2960000,500000,10000,120,6,16,1196,1196,1076,True,[],"{""eligibility_filter"":[""unique_pages"",""reactive_lru_replacement_decisions""],""eligible_window_ranking"":[""source_interval.start_inclusive"",""source_interval.end_exclusive"",""source_trace_id"",""candidate_content_sha256""]}",b824e7ce44e4c8ee265f5460df3077609a6a36e1b7179703e959c6e2977ce589,sha256_of_normalized_source_identity_and_interval,1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,86b992bcae4ab3d89c47ac8dbc4878bfc813bdeecb162d668c8d106a47230f1b,cce4e21b4ede41b6f7d0897f60615e4774ec4cfef90dac39120470f58ee7a109,1e0680e8d5842b0f30ede9dcf3fd655e75ee3adce80f83703cbad5b43e20c326
canneal,canneal-20260731T072730Z,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/canneal/test.csv,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48,70000,570000,2470000,2970000,2470000,2970000,500000,10000,120,6,16,1196,1196,1076,True,[],"{""eligibility_filter"":[""unique_pages"",""reactive_lru_replacement_decisions""],""eligible_window_ranking"":[""source_interval.start_inclusive"",""source_interval.end_exclusive"",""source_trace_id"",""candidate_content_sha256""]}",f30afd0288755a8f2c0544b594a8b581382c1a42ebd1ca6a3b473f419d1a5ed7,sha256_of_normalized_source_identity_and_interval,1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,86b992bcae4ab3d89c47ac8dbc4878bfc813bdeecb162d668c8d106a47230f1b,cce4e21b4ede41b6f7d0897f60615e4774ec4cfef90dac39120470f58ee7a109,1e0680e8d5842b0f30ede9dcf3fd655e75ee3adce80f83703cbad5b43e20c326
canneal,canneal-20260731T072730Z,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/canneal/test.csv,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48,80000,580000,2480000,2980000,2480000,2980000,500000,10000,120,6,16,1195,1195,1075,True,[],"{""eligibility_filter"":[""unique_pages"",""reactive_lru_replacement_decisions""],""eligible_window_ranking"":[""source_interval.start_inclusive"",""source_interval.end_exclusive"",""source_trace_id"",""candidate_content_sha256""]}",d5f7d486b077a331f3bad573b47d47b8418e58ebcbadabe59fd03eb0b24869c1,sha256_of_normalized_source_identity_and_interval,1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,86b992bcae4ab3d89c47ac8dbc4878bfc813bdeecb162d668c8d106a47230f1b,cce4e21b4ede41b6f7d0897f60615e4774ec4cfef90dac39120470f58ee7a109,1e0680e8d5842b0f30ede9dcf3fd655e75ee3adce80f83703cbad5b43e20c326
canneal,canneal-20260731T072730Z,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/canneal/test.csv,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48,90000,590000,2490000,2990000,2490000,2990000,500000,10000,120,6,16,1195,1195,1075,True,[],"{""eligibility_filter"":[""unique_pages"",""reactive_lru_replacement_decisions""],""eligible_window_ranking"":[""source_interval.start_inclusive"",""source_interval.end_exclusive"",""source_trace_id"",""candidate_content_sha256""]}",b8dc9ba859e620e959bd111914eb52b64c15f795589b6755d5fa47357e9b2643,sha256_of_normalized_source_identity_and_interval,1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,86b992bcae4ab3d89c47ac8dbc4878bfc813bdeecb162d668c8d106a47230f1b,cce4e21b4ede41b6f7d0897f60615e4774ec4cfef90dac39120470f58ee7a109,1e0680e8d5842b0f30ede9dcf3fd655e75ee3adce80f83703cbad5b43e20c326
