workload,source_test_path,source_test_sha256,split_relative_start,split_relative_end_exclusive,raw_trace_start,raw_trace_end_exclusive,window_records,scan_step,D,F_low,F_target,unique_pages,reactive_lru_misses,reactive_lru_replacement_decisions,pressure_eligible,ineligibility_reasons,selection_features_used,contract_sha256,code_sha256,config_sha256
canneal,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/canneal/test.csv,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48,0,500000,2400000,2900000,500000,10000,120,6,16,1195,1195,1075,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
canneal,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/canneal/test.csv,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48,10000,510000,2410000,2910000,500000,10000,120,6,16,1195,1195,1075,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
canneal,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/canneal/test.csv,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48,20000,520000,2420000,2920000,500000,10000,120,6,16,1195,1195,1075,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
canneal,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/canneal/test.csv,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48,30000,530000,2430000,2930000,500000,10000,120,6,16,1195,1195,1075,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
canneal,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/canneal/test.csv,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48,40000,540000,2440000,2940000,500000,10000,120,6,16,1196,1196,1076,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
canneal,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/canneal/test.csv,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48,50000,550000,2450000,2950000,500000,10000,120,6,16,1196,1196,1076,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
canneal,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/canneal/test.csv,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48,60000,560000,2460000,2960000,500000,10000,120,6,16,1196,1196,1076,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
canneal,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/canneal/test.csv,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48,70000,570000,2470000,2970000,500000,10000,120,6,16,1196,1196,1076,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
canneal,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/canneal/test.csv,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48,80000,580000,2480000,2980000,500000,10000,120,6,16,1195,1195,1075,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
canneal,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/canneal/test.csv,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48,90000,590000,2490000,2990000,500000,10000,120,6,16,1195,1195,1075,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
