row_id,run_id,source_job_id,track,workload,policy,seed,cost_profile,dram_hit_weight,nvm_read_weight,nvm_write_weight,demotion_weight,dram_hits,nvm_reads,nvm_writes,total_demotions,raw_access_count,reactive_demotions,proactive_demotions,emergency_demotions,weighted_cost,weighted_cost_per_access,evidence_mode,evidence_status
standard__blackscholes__capd__seed-2026::read_light,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__capd__seed-2026,standard,blackscholes,capd,2026,read_light,1,2,4,8,576344,22016,1640,23649,600000,0,15766,7883,816128,1.3602133333333333,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__capd__seed-2026::default,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__capd__seed-2026,standard,blackscholes,capd,2026,default,1,2,8,10,576344,22016,1640,23649,600000,0,15766,7883,869986,1.4499766666666667,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__capd__seed-2026::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__capd__seed-2026,standard,blackscholes,capd,2026,write_expensive,1,2,12,10,576344,22016,1640,23649,600000,0,15766,7883,876546,1.46091,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__capd__seed-2026::migration_expensive,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__capd__seed-2026,standard,blackscholes,capd,2026,migration_expensive,1,2,8,20,576344,22016,1640,23649,600000,0,15766,7883,1106476,1.8441266666666667,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__capd__seed-3136859::read_light,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__capd__seed-3136859,standard,blackscholes,capd,3136859,read_light,1,2,4,8,575774,22586,1640,24219,600000,0,16146,8073,821258,1.3687633333333333,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__capd__seed-3136859::default,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__capd__seed-3136859,standard,blackscholes,capd,3136859,default,1,2,8,10,575774,22586,1640,24219,600000,0,16146,8073,876256,1.4604266666666668,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__capd__seed-3136859::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__capd__seed-3136859,standard,blackscholes,capd,3136859,write_expensive,1,2,12,10,575774,22586,1640,24219,600000,0,16146,8073,882816,1.47136,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__capd__seed-3136859::migration_expensive,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__capd__seed-3136859,standard,blackscholes,capd,3136859,migration_expensive,1,2,8,20,575774,22586,1640,24219,600000,0,16146,8073,1118446,1.8640766666666666,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__capd__seed-42::read_light,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__capd__seed-42,standard,blackscholes,capd,42,read_light,1,2,4,8,576062,22298,1640,23931,600000,0,15954,7977,818666,1.3644433333333332,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__capd__seed-42::default,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__capd__seed-42,standard,blackscholes,capd,42,default,1,2,8,10,576062,22298,1640,23931,600000,0,15954,7977,873088,1.4551466666666666,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__capd__seed-42::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__capd__seed-42,standard,blackscholes,capd,42,write_expensive,1,2,12,10,576062,22298,1640,23931,600000,0,15954,7977,879648,1.46608,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__capd__seed-42::migration_expensive,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__capd__seed-42,standard,blackscholes,capd,42,migration_expensive,1,2,8,20,576062,22298,1640,23931,600000,0,15954,7977,1112398,1.8539966666666667,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__oracle::read_light,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__oracle,standard,blackscholes,oracle,N/A,read_light,1,2,4,8,576851,21509,1640,23142,600000,0,15428,7714,811565,1.3526083333333334,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__oracle::default,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__oracle,standard,blackscholes,oracle,N/A,default,1,2,8,10,576851,21509,1640,23142,600000,0,15428,7714,864409,1.4406816666666666,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__oracle::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__oracle,standard,blackscholes,oracle,N/A,write_expensive,1,2,12,10,576851,21509,1640,23142,600000,0,15428,7714,870969,1.451615,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__oracle::migration_expensive,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__oracle,standard,blackscholes,oracle,N/A,migration_expensive,1,2,8,20,576851,21509,1640,23142,600000,0,15428,7714,1095829,1.8263816666666666,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__proactive_clock::read_light,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__proactive_clock,standard,blackscholes,proactive_clock,N/A,read_light,1,2,4,8,567130,30809,2061,32862,600000,0,21908,10954,899888,1.4998133333333334,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__proactive_clock::default,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__proactive_clock,standard,blackscholes,proactive_clock,N/A,default,1,2,8,10,567130,30809,2061,32862,600000,0,21908,10954,973856,1.6230933333333333,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__proactive_clock::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__proactive_clock,standard,blackscholes,proactive_clock,N/A,write_expensive,1,2,12,10,567130,30809,2061,32862,600000,0,21908,10954,982100,1.6368333333333334,offline_raw_counter_recompute,candidate-ready
