capacity_ratio,capd_mean_weighted_cost,capd_minus_tpp,relative_improvement,tpp_weighted_cost,workload
0.20,765706.6666666666,-5585.333333333372,0.007241528932406109,771292.0,blackscholes
0.40,600040.0,0.0,0.0,600040.0,blackscholes
0.60,600040.0,0.0,0.0,600040.0,blackscholes
0.20,615612.0,0.0,0.0,615612.0,canneal
0.40,610032.0,0.0,0.0,610032.0,canneal
0.60,610032.0,0.0,0.0,610032.0,canneal
0.20,602773.0,0.0,0.0,602773.0,dedup_pressure
0.40,601873.0,0.0,0.0,601873.0,dedup_pressure
0.60,601873.0,0.0,0.0,601873.0,dedup_pressure
0.20,600015.0,0.0,0.0,600015.0,fluidanimate
0.40,600015.0,0.0,0.0,600015.0,fluidanimate
0.60,600015.0,0.0,0.0,600015.0,fluidanimate
0.20,600138.0,0.0,0.0,600138.0,streamcluster_pressure
0.40,600138.0,0.0,0.0,600138.0,streamcluster_pressure
0.60,600138.0,0.0,0.0,600138.0,streamcluster_pressure
0.20,600049.0,0.0,0.0,600049.0,swaptions
0.40,600049.0,0.0,0.0,600049.0,swaptions
0.60,600049.0,0.0,0.0,600049.0,swaptions
