average_free_frames,capacity_ratio,dram_hits,dram_pages,early_reuse_1024_count,early_reuse_1024_rate,early_reuse_256_count,early_reuse_256_rate,early_reuse_64_count,early_reuse_64_rate,emergency_demotions,fallback_rate,job_id,minimum_free_frames,nvm_reads,nvm_writes,policy,proactive_demotions,seed,semantic_result_sha256,total_demotions,wasted_demotion_count,weighted_cost,weighted_cost_per_access,workload,workload_role
274.7086116666667,0.20,598566,889,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r020__reactive_lru__seed-na,0,1,1433,reactive_lru,0,,d1fbb1ad65ca18799e294b53a11f91d9ec3ef822f9fb33d152340a89611ff836,545,0,615482,1.0258033333333334,canneal,seen_calibration_workload
279.32651,0.20,598566,889,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r020__proactive_lru__seed-na,7,1,1433,proactive_lru,558,,7ffe1659a604f6f7225d9fdc6fe649da9109a29061071e4f5ae1de36f160e388,558,558,615612,1.02602,canneal,seen_calibration_workload
279.32651,0.20,598566,889,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r020__proactive_clock__seed-na,7,1,1433,proactive_clock,558,,591286cb270efbe722e8b6bde0ba0e1d5e00841775fef6af4e03ef34d1b6d363,558,558,615612,1.02602,canneal,seen_calibration_workload
279.32651,0.20,598566,889,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r020__tpp_inspired__seed-na,7,1,1433,tpp_inspired,558,,4f31bf325269bb79f73b4c8c9e40a71e4c937bae49f13d143faed46e162b0c2c,558,558,615612,1.02602,canneal,seen_calibration_workload
279.32651,0.20,598566,889,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r020__oracle__seed-na,7,1,1433,oracle,558,,419c26723094c7090481faac65170b63bac4c8a992fa32614134a9cf728b9cea,558,558,615612,1.02602,canneal,seen_calibration_workload
279.32651,0.20,598566,889,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r020__capd__seed-3136859,7,1,1433,capd,558,3136859,a802f575cb0ddc65451bbd1dbc07e92c91ee02143a923b1b0a85593d9d30de0e,558,558,615612,1.02602,canneal,seen_calibration_workload
279.32651,0.20,598566,889,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r020__capd__seed-42,7,1,1433,capd,558,42,89866a9f75a87928a3af9bb145fbf6d66c04f5d30d2e68eafcda376a3b02e50e,558,558,615612,1.02602,canneal,seen_calibration_workload
279.32651,0.20,598566,889,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r020__capd__seed-2026,7,1,1433,capd,558,2026,6b4058b8e9757553b9046b1c514f1a7df391356c6b3c4657d1b43db7875d2e4b,558,558,615612,1.02602,canneal,seen_calibration_workload
1059.94251,0.40,598566,1778,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r040__reactive_lru__seed-na,344,1,1433,reactive_lru,0,,9098d512506074316f9c85ffb4bdb150ff61c61ca8e2e8653651326e02eda65f,0,0,610032,1.01672,canneal,seen_calibration_workload
1059.94251,0.40,598566,1778,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r040__proactive_lru__seed-na,344,1,1433,proactive_lru,0,,59e9b02f8b0c246eb170407e67b7d10a176ee6b94e3b2091a0ec01d1cb68c652,0,0,610032,1.01672,canneal,seen_calibration_workload
1059.94251,0.40,598566,1778,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r040__proactive_clock__seed-na,344,1,1433,proactive_clock,0,,dfdea111366baaff3a7c8bb39eef53eb8ae17b843c95a0c4337afd7862b08d10,0,0,610032,1.01672,canneal,seen_calibration_workload
1059.94251,0.40,598566,1778,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r040__tpp_inspired__seed-na,344,1,1433,tpp_inspired,0,,511ee6e8a5568a0afe5c1aa809a58ebc31674e9031f84d7efa819db881096b99,0,0,610032,1.01672,canneal,seen_calibration_workload
1059.94251,0.40,598566,1778,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r040__oracle__seed-na,344,1,1433,oracle,0,,6ebde03b44db4fbc8d6200dead76607646d876b439115954243185c838d28f8d,0,0,610032,1.01672,canneal,seen_calibration_workload
1059.94251,0.40,598566,1778,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r040__capd__seed-3136859,344,1,1433,capd,0,3136859,f39dd208a3c28a8109822ee5e6d10179cf6bdfcb8b7f5ae3bd3742b3cde8ae44,0,0,610032,1.01672,canneal,seen_calibration_workload
1059.94251,0.40,598566,1778,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r040__capd__seed-42,344,1,1433,capd,0,42,0d598701452e23fe0ee774a86ee7e129086d01d3c4b8d59df7b096a6e4f8299b,0,0,610032,1.01672,canneal,seen_calibration_workload
1059.94251,0.40,598566,1778,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r040__capd__seed-2026,344,1,1433,capd,0,2026,1447d58527d26691ad8aef7e29e9eb1a833ebe12711f520cdeef9514fbe0904b,0,0,610032,1.01672,canneal,seen_calibration_workload
1947.94251,0.60,598566,2666,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r060__reactive_lru__seed-na,1232,1,1433,reactive_lru,0,,2444d15d80f0ea3ad7886b9afdc6fbe277045019fb4e96b28c871dffbbe5d958,0,0,610032,1.01672,canneal,seen_calibration_workload
1947.94251,0.60,598566,2666,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r060__proactive_lru__seed-na,1232,1,1433,proactive_lru,0,,ae7e7d8fc004b2d66c95606b8ed8311dc5f4ca26b62747398d9dbabfd93c3906,0,0,610032,1.01672,canneal,seen_calibration_workload
1947.94251,0.60,598566,2666,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r060__proactive_clock__seed-na,1232,1,1433,proactive_clock,0,,9b6e896a9fd224d1016b7558afd45d93dd408242051a34960cfe88162340113f,0,0,610032,1.01672,canneal,seen_calibration_workload
1947.94251,0.60,598566,2666,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r060__tpp_inspired__seed-na,1232,1,1433,tpp_inspired,0,,317a7f90cf2a13cc2048b5e790895af844bc502fcde44e00ec7939429d412f0e,0,0,610032,1.01672,canneal,seen_calibration_workload
1947.94251,0.60,598566,2666,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r060__oracle__seed-na,1232,1,1433,oracle,0,,d54681ce8968a802393b5984363d14150a9185f7e936f8ffa33aa4b6efe82e4a,0,0,610032,1.01672,canneal,seen_calibration_workload
1947.94251,0.60,598566,2666,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r060__capd__seed-3136859,1232,1,1433,capd,0,3136859,6ed4e9f120df35c0475186b6f60453a0b5f1b0783de598a79e68a2f155191f28,0,0,610032,1.01672,canneal,seen_calibration_workload
