capacity_ratio,proactive_minus_reactive,relative_improvement,workload
0.20,171252,-0.28540097326844877,blackscholes
0.40,0,0.0,blackscholes
0.60,0,0.0,blackscholes
0.20,130,-0.0002112165749770099,canneal
0.40,0,0.0,canneal
0.60,0,0.0,canneal
0.20,160,-0.0002655103690096297,dedup_pressure
0.40,0,0.0,dedup_pressure
0.60,0,0.0,dedup_pressure
0.20,0,0.0,fluidanimate
0.40,0,0.0,fluidanimate
0.60,0,0.0,fluidanimate
0.20,0,0.0,streamcluster_pressure
0.40,0,0.0,streamcluster_pressure
0.60,0,0.0,streamcluster_pressure
0.20,0,0.0,swaptions
0.40,0,0.0,swaptions
0.60,0,0.0,swaptions
