workload,capacity_ratio,baseline_dram_pages,management_fixed_bytes,metadata_bytes_per_page,management_memory_bytes,management_memory_mib,management_pages,capd_effective_dram_pages,capacity_feasible,management_exceeds_capacity_pages,capacity_overhead_percent,page_size_bytes,fair_capacity_replay_status
canneal,0.20,889,8030596,64,8087492,7.712833404541016,1975,-1086,False,1086,222.15973003374577,4096,deferred
canneal,0.40,1778,8030596,64,8144388,7.767093658447266,1989,-211,False,211,111.86726659167604,4096,deferred
canneal,0.60,2666,8030596,64,8201220,7.821292877197266,2003,663,True,0,75.13128282070518,4096,deferred
streamcluster_pressure,0.20,385,8030596,64,8055236,7.682071685791016,1967,-1582,False,1582,510.90909090909093,4096,deferred
streamcluster_pressure,0.40,769,8030596,64,8079812,7.705509185791016,1973,-1204,False,1204,256.5669700910273,4096,deferred
streamcluster_pressure,0.60,1153,8030596,64,8104388,7.728946685791016,1979,-826,False,826,171.63920208152646,4096,deferred
dedup_pressure,0.20,197,8030596,64,8043204,7.670597076416016,1964,-1767,False,1767,996.9543147208121,4096,deferred
dedup_pressure,0.40,393,8030596,64,8055748,7.682559967041016,1967,-1574,False,1574,500.5089058524173,4096,deferred
dedup_pressure,0.60,590,8030596,64,8068356,7.694583892822266,1970,-1380,False,1380,333.89830508474574,4096,deferred
blackscholes,0.20,22,8030596,64,8032004,7.659915924072266,1961,-1939,False,1939,8913.636363636364,4096,deferred
blackscholes,0.40,44,8030596,64,8033412,7.661258697509766,1962,-1918,False,1918,4459.090909090909,4096,deferred
blackscholes,0.60,66,8030596,64,8034820,7.662601470947266,1962,-1896,False,1896,2972.7272727272725,4096,deferred
swaptions,0.20,60,8030596,64,8034436,7.662235260009766,1962,-1902,False,1902,3270.0,4096,deferred
swaptions,0.40,119,8030596,64,8038212,7.665836334228516,1963,-1844,False,1844,1649.579831932773,4096,deferred
swaptions,0.60,179,8030596,64,8042052,7.669498443603516,1964,-1785,False,1785,1097.2067039106146,4096,deferred
fluidanimate,0.20,5544,8030596,64,8385412,7.996952056884766,2048,3496,True,0,36.94083694083694,4096,deferred
fluidanimate,0.40,11088,8030596,64,8740228,8.335330963134766,2134,8954,True,0,19.246031746031747,4096,deferred
fluidanimate,0.60,16632,8030596,64,9095044,8.673709869384766,2221,14411,True,0,13.353775853775854,4096,deferred
