absolute_headroom,best_classic_policy,best_classic_weighted_access_cost,config_id,measurable_headroom,oracle_decisions,oracle_policy,oracle_weighted_access_cost,relative_headroom_percent,strict_label_preference_decisions,strict_label_preference_rate,test_trace_opened,test_used_for_selection,workload
-352.0,lru,226392.0,opt_full_control,False,2414,bounded_label_oracle,226744.0,-0.15548252588430686,53,0.021955260977630488,False,False,canneal
-264.0,lru,226392.0,opt_B32,False,2406,bounded_label_oracle,226656.0,-0.11661189441323015,32,0.013300083125519535,False,False,canneal
-264.0,lru,226392.0,opt_K16,False,2406,bounded_label_oracle,226656.0,-0.11661189441323015,20,0.00831255195344971,False,False,canneal
-209.0,lru,226392.0,opt_L512,False,2401,bounded_label_oracle,226601.0,-0.0923177497438072,65,0.027072053311120368,False,False,canneal
-352.0,lru,226392.0,opt_H20,False,2414,bounded_label_oracle,226744.0,-0.15548252588430686,53,0.021955260977630488,False,False,canneal
143.0,lru,226392.0,opt_B32_K16,True,2369,bounded_label_oracle,226249.0,0.06316477614049966,30,0.01266357112705783,False,False,canneal
242.0,lru,226392.0,opt_B32_K16_L512,True,2360,bounded_label_oracle,226150.0,0.10689423654546097,51,0.021610169491525423,False,False,canneal
242.0,lru,226392.0,opt_B32_K16_L512_H20,True,2360,bounded_label_oracle,226150.0,0.10689423654546097,51,0.021610169491525423,False,False,canneal
338.0,lru,231445.0,opt_full_control,True,2821,bounded_label_oracle,231107.0,0.14603901574888203,42,0.01488833746898263,False,False,streamcluster_pressure
338.0,lru,231445.0,opt_B32,True,2821,bounded_label_oracle,231107.0,0.14603901574888203,42,0.01488833746898263,False,False,streamcluster_pressure
338.0,lru,231445.0,opt_K16,True,2821,bounded_label_oracle,231107.0,0.14603901574888203,42,0.01488833746898263,False,False,streamcluster_pressure
481.0,lru,231445.0,opt_L512,True,2808,bounded_label_oracle,230964.0,0.20782475318110133,116,0.04131054131054131,False,False,streamcluster_pressure
338.0,lru,231445.0,opt_H20,True,2821,bounded_label_oracle,231107.0,0.14603901574888203,42,0.01488833746898263,False,False,streamcluster_pressure
338.0,lru,231445.0,opt_B32_K16,True,2821,bounded_label_oracle,231107.0,0.14603901574888203,42,0.01488833746898263,False,False,streamcluster_pressure
481.0,lru,231445.0,opt_B32_K16_L512,True,2808,bounded_label_oracle,230964.0,0.20782475318110133,116,0.04131054131054131,False,False,streamcluster_pressure
481.0,lru,231445.0,opt_B32_K16_L512_H20,True,2808,bounded_label_oracle,230964.0,0.20782475318110133,116,0.04131054131054131,False,False,streamcluster_pressure
-64.0,lru,1036530.0,opt_full_control,False,2662,bounded_label_oracle,1036594.0,-0.006174447435192421,0,0.0,False,False,dedup_pressure
-15.0,lru,1036530.0,opt_B32,False,2657,bounded_label_oracle,1036545.0,-0.0014471361176232236,5,0.001881821603312006,False,False,dedup_pressure
-11.0,lru,1036530.0,opt_K16,False,2655,bounded_label_oracle,1036541.0,-0.0010612331529236973,1,0.0003766478342749529,False,False,dedup_pressure
-64.0,lru,1036530.0,opt_L512,False,2662,bounded_label_oracle,1036594.0,-0.006174447435192421,0,0.0,False,False,dedup_pressure
-64.0,lru,1036530.0,opt_H20,False,2662,bounded_label_oracle,1036594.0,-0.006174447435192421,0,0.0,False,False,dedup_pressure
11.0,lru,1036530.0,opt_B32_K16,True,2653,bounded_label_oracle,1036519.0,0.0010612331529236973,1,0.0003769317753486619,False,False,dedup_pressure
11.0,lru,1036530.0,opt_B32_K16_L512,True,2653,bounded_label_oracle,1036519.0,0.0010612331529236973,1,0.0003769317753486619,False,False,dedup_pressure
11.0,lru,1036530.0,opt_B32_K16_L512_H20,True,2653,bounded_label_oracle,1036519.0,0.0010612331529236973,1,0.0003769317753486619,False,False,dedup_pressure
