epoch,checkpoint,weighted_access_cost,nvm_writes,nvm_reads,migrations,hit_rate_percent,misses,decision_count,avg_decision_time_ms,total_accesses
1,outputs\checkpoints\try_prototype\qmap_epoch_1.pth,11043.0,140,773,785,54.35,913,785,2.1047252229299365,2000
2,outputs\checkpoints\try_prototype\qmap_epoch_2.pth,10193.0,122,717,711,58.050000000000004,839,711,2.0312420534458484,2000
3,outputs\checkpoints\try_prototype\qmap_epoch_3.pth,9954.0,118,700,690,59.099999999999994,818,690,2.0556840579710154,2000
4,outputs\checkpoints\try_prototype\qmap_epoch_4.pth,9991.0,120,701,693,58.95,821,693,2.0131676767676634,2000
5,outputs\checkpoints\try_prototype\qmap_epoch_5.pth,9991.0,120,701,693,58.95,821,693,2.0222243867243823,2000
6,outputs\checkpoints\try_prototype\qmap_epoch_6.pth,9956.0,119,699,690,59.099999999999994,818,690,2.155229855072472,2000
7,outputs\checkpoints\try_prototype\qmap_epoch_7.pth,9908.0,117,697,686,59.3,814,686,2.0371016034985536,2000
8,outputs\checkpoints\try_prototype\qmap_epoch_8.pth,9849.0,115,694,681,59.550000000000004,809,681,2.0880098384728356,2000
9,outputs\checkpoints\try_prototype\qmap_epoch_9.pth,9860.0,115,695,682,59.5,810,682,2.0412109970674517,2000
10,outputs\checkpoints\try_prototype\qmap_epoch_10.pth,9838.0,115,693,680,59.599999999999994,808,680,2.1523738235294,2000
