workload,cost_model,policy,reweighted_cost,hits,nvm_reads,nvm_writes,migrations,hit_rate_percent,decision_count,avg_decision_time_ms
streamcluster_pressure,default,lru,305562.0,190708,8707,585,9276,95.354,9276,0.00029441972037053615
streamcluster_pressure,default,random,314183.0,190029,9194,777,9955,95.0145,9955,0.0011352002190352084
streamcluster_pressure,default,lfu,361877.0,185673,13587,740,14311,92.8365,14311,0.005823627153863015
streamcluster_pressure,default,clock,301767.0,191047,8379,574,8937,95.5235,8937,0.0014564268773696134
streamcluster_pressure,default,qmap,269095.0,194003,5449,548,5981,97.0015,5981,2.346489767054564
blackscholes,default,lru,112958.0,98886,970,144,1098,98.886,1098,0.0003366635684840015
blackscholes,default,random,115505.0,98655,1200,145,1329,98.655,1329,0.001258560876096434
blackscholes,default,lfu,106952.0,99474,305,221,510,99.47399999999999,510,0.006482812265555064
blackscholes,default,clock,110437.0,99095,798,107,889,99.095,889,0.0021657539810252
blackscholes,default,qmap,110557.0,99089,795,116,895,99.089,895,3.0134497330050563
canneal,default,lru,126178.0,97634,2314,52,2350,97.634,2350,0.0003071942743151746
canneal,default,random,139465.0,96503,3304,193,3481,96.503,3481,0.001250985938669347
canneal,default,lfu,159919.0,94691,5029,280,5293,94.691,5293,0.006065234836087478
canneal,default,clock,126325.0,97625,2315,60,2359,97.625,2359,0.0018171469423163488
canneal,default,qmap,129269.0,97353,2595,52,2631,97.353,2631,2.60633888905029
streamcluster_pressure,mild,lru,256842.0,190708,8707,585,9276,95.354,9276,0.00029441972037053615
streamcluster_pressure,mild,random,261300.0,190029,9194,777,9955,95.0145,9955,0.0011352002190352084
streamcluster_pressure,mild,lfu,287362.0,185673,13587,740,14311,92.8365,14311,0.005823627153863015
streamcluster_pressure,mild,clock,254786.0,191047,8379,574,8937,95.5235,8937,0.0014564268773696134
streamcluster_pressure,mild,qmap,236998.0,194003,5449,548,5981,97.0015,5981,2.346489767054564
blackscholes,mild,lru,106892.0,98886,970,144,1098,98.886,1098,0.0003366635684840015
blackscholes,mild,random,108280.0,98655,1200,145,1329,98.655,1329,0.001258560876096434
blackscholes,mild,lfu,103518.0,99474,305,221,510,99.47399999999999,510,0.006482812265555064
blackscholes,mild,clock,105564.0,99095,798,107,889,99.095,889,0.0021657539810252
blackscholes,mild,qmap,105618.0,99089,795,116,895,99.089,895,3.0134497330050563
canneal,mild,lru,114220.0,97634,2314,52,2350,97.634,2350,0.0003071942743151746
canneal,mild,random,121288.0,96503,3304,193,3481,96.503,3481,0.001250985938669347
canneal,mild,lfu,132334.0,94691,5029,280,5293,94.691,5293,0.006065234836087478
canneal,mild,clock,114290.0,97625,2315,60,2359,97.625,2359,0.0018171469423163488
canneal,mild,qmap,115906.0,97353,2595,52,2631,97.353,2631,2.60633888905029
streamcluster_pressure,write-heavy,lru,310242.0,190708,8707,585,9276,95.354,9276,0.00029441972037053615
streamcluster_pressure,write-heavy,random,320399.0,190029,9194,777,9955,95.0145,9955,0.0011352002190352084
streamcluster_pressure,write-heavy,lfu,367797.0,185673,13587,740,14311,92.8365,14311,0.005823627153863015
streamcluster_pressure,write-heavy,clock,306359.0,191047,8379,574,8937,95.5235,8937,0.0014564268773696134
streamcluster_pressure,write-heavy,qmap,273479.0,194003,5449,548,5981,97.0015,5981,2.346489767054564
blackscholes,write-heavy,lru,114110.0,98886,970,144,1098,98.886,1098,0.0003366635684840015
blackscholes,write-heavy,random,116665.0,98655,1200,145,1329,98.655,1329,0.001258560876096434
blackscholes,write-heavy,lfu,108720.0,99474,305,221,510,99.47399999999999,510,0.006482812265555064
blackscholes,write-heavy,clock,111293.0,99095,798,107,889,99.095,889,0.0021657539810252
blackscholes,write-heavy,qmap,111485.0,99089,795,116,895,99.089,895,3.0134497330050563
canneal,write-heavy,lru,126594.0,97634,2314,52,2350,97.634,2350,0.0003071942743151746
canneal,write-heavy,random,141009.0,96503,3304,193,3481,96.503,3481,0.001250985938669347
canneal,write-heavy,lfu,162159.0,94691,5029,280,5293,94.691,5293,0.006065234836087478
canneal,write-heavy,clock,126805.0,97625,2315,60,2359,97.625,2359,0.0018171469423163488
canneal,write-heavy,qmap,129685.0,97353,2595,52,2631,97.353,2631,2.60633888905029
streamcluster_pressure,migration-heavy,lru,398322.0,190708,8707,585,9276,95.354,9276,0.00029441972037053615
streamcluster_pressure,migration-heavy,random,413733.0,190029,9194,777,9955,95.0145,9955,0.0011352002190352084
streamcluster_pressure,migration-heavy,lfu,504987.0,185673,13587,740,14311,92.8365,14311,0.005823627153863015
streamcluster_pressure,migration-heavy,clock,391137.0,191047,8379,574,8937,95.5235,8937,0.0014564268773696134
streamcluster_pressure,migration-heavy,qmap,328905.0,194003,5449,548,5981,97.0015,5981,2.346489767054564
blackscholes,migration-heavy,lru,123938.0,98886,970,144,1098,98.886,1098,0.0003366635684840015
blackscholes,migration-heavy,random,128795.0,98655,1200,145,1329,98.655,1329,0.001258560876096434
blackscholes,migration-heavy,lfu,112052.0,99474,305,221,510,99.47399999999999,510,0.006482812265555064
blackscholes,migration-heavy,clock,119327.0,99095,798,107,889,99.095,889,0.0021657539810252
blackscholes,migration-heavy,qmap,119507.0,99089,795,116,895,99.089,895,3.0134497330050563
canneal,migration-heavy,lru,149678.0,97634,2314,52,2350,97.634,2350,0.0003071942743151746
canneal,migration-heavy,random,174275.0,96503,3304,193,3481,96.503,3481,0.001250985938669347
canneal,migration-heavy,lfu,212849.0,94691,5029,280,5293,94.691,5293,0.006065234836087478
canneal,migration-heavy,clock,149915.0,97625,2315,60,2359,97.625,2359,0.0018171469423163488
canneal,migration-heavy,qmap,155579.0,97353,2595,52,2631,97.353,2631,2.60633888905029
