cost_model,workload,best_baseline_policy,best_baseline_cost,qmap_cost,delta_percent,qmap_nvm_writes,qmap_migrations,qmap_hit_rate_percent,qmap_decision_count
default,streamcluster_pressure,clock,301767.0,264501.0,-12.349262841861437,589,5541,97.2215,5541
mild,streamcluster_pressure,clock,254786.0,234440.0,-7.985525107344988,589,5541,97.2215,5541
write-heavy,streamcluster_pressure,clock,306359.0,269213.0,-12.124990615584984,589,5541,97.2215,5541
migration-heavy,streamcluster_pressure,clock,391137.0,319911.0,-18.209987804784515,589,5541,97.2215,5541
default,blackscholes,lfu,106952.0,105983.0,-0.9060139127833047,32,525,99.459,525
mild,blackscholes,lfu,103518.0,103230.0,-0.27821248478525473,32,525,99.459,525
write-heavy,blackscholes,lfu,108720.0,106239.0,-2.282008830022075,32,525,99.459,525
migration-heavy,blackscholes,lfu,112052.0,111233.0,-0.7309106486274229,32,525,99.459,525
default,canneal,lru,126178.0,150559.0,19.322702848357082,51,4567,95.417,4567
mild,canneal,lru,114220.0,127520.0,11.644195412362109,51,4567,95.417,4567
write-heavy,canneal,lru,126594.0,150967.0,19.252887182646887,51,4567,95.417,4567
migration-heavy,canneal,lru,149678.0,196229.0,31.100762971178128,51,4567,95.417,4567
