workload,seed,comparison,feature,ks,warning,outside_train_range_ratio
canneal,3136859,A_vs_B_split_drift,B_t,0.0,none,0.0
canneal,3136859,A_vs_B_split_drift,K_t,0.0,none,0.0
canneal,3136859,A_vs_B_split_drift,decision_interval,0.007555311497648098,none,0.0008399832003359933
canneal,3136859,A_vs_B_split_drift,dirty_ratio,0.15745183461196477,moderate,0.005877413937867338
canneal,3136859,A_vs_B_split_drift,dirty_state,0.0009970612930310662,binary,
canneal,3136859,A_vs_B_split_drift,normalized_residency,0.0,none,0.0
canneal,3136859,A_vs_B_split_drift,original_r_lru,0.01700223546840887,none,0.0010495382031905961
canneal,3136859,A_vs_B_split_drift,recent_frequency,0.0,none,0.0
canneal,3136859,A_vs_B_split_drift,selector_clean,0.0150853893294014,binary,
canneal,3136859,A_vs_B_split_drift,selector_g_delta,0.009039145049755115,none,0.0
canneal,3136859,A_vs_B_split_drift,selector_one_minus_g_a,0.0019632812279256895,none,0.0
canneal,3136859,A_vs_B_split_drift,selector_one_minus_g_w,0.0012066473572567016,none,0.0
canneal,3136859,A_vs_B_split_drift,selector_r_lru,0.0,none,0.0
canneal,3136859,A_vs_C_total_shift,B_t,0.0,none,0.0
canneal,3136859,A_vs_C_total_shift,K_t,0.0,none,0.0
canneal,3136859,A_vs_C_total_shift,decision_interval,0.01911687636797621,none,0.0
canneal,3136859,A_vs_C_total_shift,dirty_ratio,0.986058243908188,large,0.9479539133889551
canneal,3136859,A_vs_C_total_shift,dirty_state,0.7962355979340485,binary,
canneal,3136859,A_vs_C_total_shift,normalized_residency,0.0,none,0.0
canneal,3136859,A_vs_C_total_shift,original_r_lru,0.157447986842772,moderate,0.05154946364719905
canneal,3136859,A_vs_C_total_shift,recent_frequency,0.0,none,0.0
canneal,3136859,A_vs_C_total_shift,selector_clean,0.2807456501853041,binary,
canneal,3136859,A_vs_C_total_shift,selector_g_delta,0.2334079985430192,large,0.0
canneal,3136859,A_vs_C_total_shift,selector_one_minus_g_a,0.006374734481058519,none,0.0
canneal,3136859,A_vs_C_total_shift,selector_one_minus_g_w,0.0018475349138116735,none,0.0
canneal,3136859,A_vs_C_total_shift,selector_r_lru,0.0,none,0.0
canneal,3136859,B_vs_C_policy_shift,B_t,0.0,none,0.0
canneal,3136859,B_vs_C_policy_shift,K_t,0.0,none,0.0
canneal,3136859,B_vs_C_policy_shift,decision_interval,0.018639213861191717,none,0.0
canneal,3136859,B_vs_C_policy_shift,dirty_ratio,0.9789576972306202,large,0.31942789034564956
canneal,3136859,B_vs_C_policy_shift,dirty_state,0.7952385366410174,binary,
canneal,3136859,B_vs_C_policy_shift,normalized_residency,0.0,none,0.0
canneal,3136859,B_vs_C_policy_shift,original_r_lru,0.15784491653231575,moderate,9.932459276916965e-05
canneal,3136859,B_vs_C_policy_shift,recent_frequency,0.0,none,0.0
canneal,3136859,B_vs_C_policy_shift,selector_clean,0.2656602608559027,binary,
canneal,3136859,B_vs_C_policy_shift,selector_g_delta,0.233156287872192,large,0.0
canneal,3136859,B_vs_C_policy_shift,selector_one_minus_g_a,0.004616896977129803,none,0.0
canneal,3136859,B_vs_C_policy_shift,selector_one_minus_g_w,0.0010730167730965932,none,0.0
canneal,3136859,B_vs_C_policy_shift,selector_r_lru,0.0,none,0.0
canneal,42,A_vs_B_split_drift,B_t,0.0,none,0.0
canneal,42,A_vs_B_split_drift,K_t,0.0,none,0.0
canneal,42,A_vs_B_split_drift,decision_interval,0.007555311497648098,none,0.0008399832003359933
canneal,42,A_vs_B_split_drift,dirty_ratio,0.15745183461196477,moderate,0.005877413937867338
canneal,42,A_vs_B_split_drift,dirty_state,0.0009970612930310662,binary,
canneal,42,A_vs_B_split_drift,normalized_residency,0.0,none,0.0
canneal,42,A_vs_B_split_drift,original_r_lru,0.01700223546840887,none,0.0010495382031905961
canneal,42,A_vs_B_split_drift,recent_frequency,0.0,none,0.0
canneal,42,A_vs_B_split_drift,selector_clean,0.0150853893294014,binary,
canneal,42,A_vs_B_split_drift,selector_g_delta,0.009039145049755115,none,0.0
canneal,42,A_vs_B_split_drift,selector_one_minus_g_a,0.0019632812279256895,none,0.0
canneal,42,A_vs_B_split_drift,selector_one_minus_g_w,0.0012066473572567016,none,0.0
canneal,42,A_vs_B_split_drift,selector_r_lru,0.0,none,0.0
canneal,42,A_vs_C_total_shift,B_t,0.0,none,0.0
canneal,42,A_vs_C_total_shift,K_t,0.0,none,0.0
canneal,42,A_vs_C_total_shift,decision_interval,0.016014009054632905,none,0.0
canneal,42,A_vs_C_total_shift,dirty_ratio,0.8332406746285466,large,0.03126376045794804
canneal,42,A_vs_C_total_shift,dirty_state,0.039520035226772346,binary,
canneal,42,A_vs_C_total_shift,normalized_residency,0.0,none,0.0
canneal,42,A_vs_C_total_shift,original_r_lru,0.44271425884835747,large,0.0034676354029062086
canneal,42,A_vs_C_total_shift,recent_frequency,0.0,none,0.0
canneal,42,A_vs_C_total_shift,selector_clean,0.1315569382481413,binary,
canneal,42,A_vs_C_total_shift,selector_g_delta,0.14657318519282803,moderate,0.0
canneal,42,A_vs_C_total_shift,selector_one_minus_g_a,0.0024291524500040934,none,0.0
canneal,42,A_vs_C_total_shift,selector_one_minus_g_w,0.0005867860591914405,none,0.0
canneal,42,A_vs_C_total_shift,selector_r_lru,0.0,none,0.0
canneal,42,B_vs_C_policy_shift,B_t,0.0,none,0.0
canneal,42,B_vs_C_policy_shift,K_t,0.0,none,0.0
canneal,42,B_vs_C_policy_shift,decision_interval,0.020671727534612327,none,0.0
canneal,42,B_vs_C_policy_shift,dirty_ratio,0.7916041380365955,large,0.0035226772346983706
canneal,42,B_vs_C_policy_shift,dirty_state,0.03852297393374128,binary,
canneal,42,B_vs_C_policy_shift,normalized_residency,0.0,none,0.0
canneal,42,B_vs_C_policy_shift,original_r_lru,0.42955574448167505,large,0.0
canneal,42,B_vs_C_policy_shift,recent_frequency,0.0,none,0.0
canneal,42,B_vs_C_policy_shift,selector_clean,0.1164715489187399,binary,
canneal,42,B_vs_C_policy_shift,selector_g_delta,0.1461734973995854,moderate,0.0
canneal,42,B_vs_C_policy_shift,selector_one_minus_g_a,0.0010892338315658945,none,0.0
canneal,42,B_vs_C_policy_shift,selector_one_minus_g_w,0.0010876654166486442,none,0.0
canneal,42,B_vs_C_policy_shift,selector_r_lru,0.0,none,0.0
canneal,2026,A_vs_B_split_drift,B_t,0.0,none,0.0
canneal,2026,A_vs_B_split_drift,K_t,0.0,none,0.0
canneal,2026,A_vs_B_split_drift,decision_interval,0.007555311497648098,none,0.0008399832003359933
canneal,2026,A_vs_B_split_drift,dirty_ratio,0.15745183461196477,moderate,0.005877413937867338
canneal,2026,A_vs_B_split_drift,dirty_state,0.0009970612930310662,binary,
canneal,2026,A_vs_B_split_drift,normalized_residency,0.0,none,0.0
canneal,2026,A_vs_B_split_drift,original_r_lru,0.01700223546840887,none,0.0010495382031905961
canneal,2026,A_vs_B_split_drift,recent_frequency,0.0,none,0.0
canneal,2026,A_vs_B_split_drift,selector_clean,0.0150853893294014,binary,
canneal,2026,A_vs_B_split_drift,selector_g_delta,0.009039145049755115,none,0.0
canneal,2026,A_vs_B_split_drift,selector_one_minus_g_a,0.0019632812279256895,none,0.0
canneal,2026,A_vs_B_split_drift,selector_one_minus_g_w,0.0012066473572567016,none,0.0
canneal,2026,A_vs_B_split_drift,selector_r_lru,0.0,none,0.0
canneal,2026,A_vs_C_total_shift,B_t,0.0,none,0.0
canneal,2026,A_vs_C_total_shift,K_t,0.0,none,0.0
canneal,2026,A_vs_C_total_shift,decision_interval,0.016836885227298537,none,0.0
