artifact_class,full_cost,seed,variant_cost,variant_id,variant_improvement_over_full_percent,variant_minus_full,workload
official,229156.0,3136859,227209.0,no_filter_B8_K8,0.8496395468589083,-1947.0,canneal
official,226318.0,42,226560.0,no_filter_B8_K8,-0.10692918813351125,242.0,canneal
official,227011.0,2026,226967.0,no_filter_B8_K8,0.01938232068049566,-44.0,canneal
official,229156.0,3136859,528939.0,selector_drop_Delta,-130.820489099129,299783.0,canneal
official,226318.0,42,275966.0,selector_drop_Delta,-21.937274101043663,49648.0,canneal
official,227011.0,2026,341176.0,selector_drop_Delta,-50.29051455656334,114165.0,canneal
official,229156.0,3136859,246019.0,selector_drop_A,-7.35874251601529,16863.0,canneal
official,226318.0,42,228056.0,selector_drop_A,-0.7679459875043081,1738.0,canneal
official,227011.0,2026,232841.0,selector_drop_A,-2.568157490165675,5830.0,canneal
official,229156.0,3136859,246019.0,selector_drop_W,-7.35874251601529,16863.0,canneal
official,226318.0,42,228045.0,selector_drop_W,-0.7630855698618758,1727.0,canneal
official,227011.0,2026,232841.0,selector_drop_W,-2.568157490165675,5830.0,canneal
official,229156.0,3136859,226021.0,selector_drop_C,1.3680636771456998,-3135.0,canneal
official,226318.0,42,226417.0,selector_drop_C,-0.04374375878189097,99.0,canneal
official,227011.0,2026,226032.0,selector_drop_C,0.4312566351410284,-979.0,canneal
official,229156.0,3136859,584392.0,selector_drop_R,-155.01928817050396,355236.0,canneal
official,226318.0,42,308334.0,selector_drop_R,-36.239273941975455,82016.0,canneal
official,227011.0,2026,544488.0,selector_drop_R,-139.85093233367547,317477.0,canneal
official,229156.0,3136859,227836.0,no_position_encoding,0.5760268114297684,-1320.0,canneal
official,226318.0,42,227792.0,no_position_encoding,-0.6512959640859322,1474.0,canneal
official,227011.0,2026,226516.0,no_position_encoding,0.21805110765557617,-495.0,canneal
official,229156.0,3136859,226978.0,no_candidate_state,0.9504442388591179,-2178.0,canneal
official,226318.0,42,226945.0,no_candidate_state,-0.2770438056186428,627.0,canneal
official,227011.0,2026,226978.0,no_candidate_state,0.014536740510371744,-33.0,canneal
official,229156.0,3136859,225911.0,history_mean_pool,1.416065911431514,-3245.0,canneal
official,226318.0,42,227495.0,history_mean_pool,-0.5200646877402593,1177.0,canneal
official,227011.0,2026,226802.0,history_mean_pool,0.09206602323235438,-209.0,canneal
official,229156.0,3136859,229156.0,no_future_write,0.0,0.0,canneal
official,226318.0,42,226318.0,no_future_write,0.0,0.0,canneal
official,227011.0,2026,227011.0,no_future_write,0.0,0.0,canneal
official,230628.0,3136859,230628.0,no_filter_B8_K8,0.0,0.0,streamcluster_pressure
official,230628.0,42,230628.0,no_filter_B8_K8,0.0,0.0,streamcluster_pressure
official,230628.0,2026,230628.0,no_filter_B8_K8,0.0,0.0,streamcluster_pressure
official,230628.0,3136859,230628.0,selector_drop_Delta,0.0,0.0,streamcluster_pressure
