model_seed,policy,profile,replay_seed,reweighted_cost,workload
3136859,qmap,migration_cost_high,0,255516.0,canneal
42,qmap,migration_cost_high,0,250098.0,canneal
2026,qmap,migration_cost_high,0,251421.0,canneal
,random,migration_cost_high,0,285765.0,canneal
,random,migration_cost_high,1,285633.0,canneal
,random,migration_cost_high,2,285870.0,canneal
,lru,migration_cost_high,0,251862.0,canneal
,lfu,migration_cost_high,0,323463.0,canneal
,clock,migration_cost_high,0,263190.0,canneal
3136859,qmap,migration_cost_high,0,258408.0,streamcluster_pressure
42,qmap,migration_cost_high,0,258408.0,streamcluster_pressure
2026,qmap,migration_cost_high,0,258408.0,streamcluster_pressure
,random,migration_cost_high,0,273372.0,streamcluster_pressure
,random,migration_cost_high,1,272346.0,streamcluster_pressure
,random,migration_cost_high,2,273678.0,streamcluster_pressure
,lru,migration_cost_high,0,261096.0,streamcluster_pressure
,lfu,migration_cost_high,0,271944.0,streamcluster_pressure
,clock,migration_cost_high,0,268281.0,streamcluster_pressure
3136859,qmap,migration_cost_high,0,1078505.0,dedup_pressure
42,qmap,migration_cost_high,0,1077965.0,dedup_pressure
2026,qmap,migration_cost_high,0,1078274.0,dedup_pressure
,random,migration_cost_high,0,1084406.0,dedup_pressure
,random,migration_cost_high,1,1084367.0,dedup_pressure
,random,migration_cost_high,2,1084547.0,dedup_pressure
,lru,migration_cost_high,0,1077779.0,dedup_pressure
,lfu,migration_cost_high,0,3354101.0,dedup_pressure
,clock,migration_cost_high,0,1077971.0,dedup_pressure
3136859,qmap,official,0,229156.0,canneal
42,qmap,official,0,226318.0,canneal
2026,qmap,official,0,227011.0,canneal
,random,official,0,245235.0,canneal
,random,official,1,245183.0,canneal
,random,official,2,245290.0,canneal
,lru,official,0,227242.0,canneal
,lfu,official,0,266593.0,canneal
,clock,official,0,233190.0,canneal
3136859,qmap,official,0,230628.0,streamcluster_pressure
42,qmap,official,0,230628.0,streamcluster_pressure
2026,qmap,official,0,230628.0,streamcluster_pressure
,random,official,0,238552.0,streamcluster_pressure
,random,official,1,238026.0,streamcluster_pressure
,random,official,2,238738.0,streamcluster_pressure
,lru,official,0,232096.0,streamcluster_pressure
,lfu,official,0,237844.0,streamcluster_pressure
,clock,official,0,235891.0,streamcluster_pressure
3136859,qmap,official,0,1045555.0,dedup_pressure
42,qmap,official,0,1045275.0,dedup_pressure
2026,qmap,official,0,1045434.0,dedup_pressure
,random,official,0,1048966.0,dedup_pressure
,random,official,1,1048937.0,dedup_pressure
,random,official,2,1049097.0,dedup_pressure
,lru,official,0,1045189.0,dedup_pressure
,lfu,official,0,2372171.0,dedup_pressure
,clock,official,0,1045301.0,dedup_pressure
3136859,qmap,write_cost_high,0,229284.0,canneal
42,qmap,write_cost_high,0,226446.0,canneal
2026,qmap,write_cost_high,0,227139.0,canneal
,random,write_cost_high,0,246019.0,canneal
,random,write_cost_high,1,246015.0,canneal
,random,write_cost_high,2,246074.0,canneal
,lru,write_cost_high,0,227370.0,canneal
,lfu,write_cost_high,0,271889.0,canneal
,clock,write_cost_high,0,233358.0,canneal
3136859,qmap,write_cost_high,0,230636.0,streamcluster_pressure
42,qmap,write_cost_high,0,230636.0,streamcluster_pressure
2026,qmap,write_cost_high,0,230636.0,streamcluster_pressure
,random,write_cost_high,0,238800.0,streamcluster_pressure
,random,write_cost_high,1,238306.0,streamcluster_pressure
,random,write_cost_high,2,239058.0,streamcluster_pressure
,lru,write_cost_high,0,232272.0,streamcluster_pressure
,lfu,write_cost_high,0,238204.0,streamcluster_pressure
,clock,write_cost_high,0,236155.0,streamcluster_pressure
3136859,qmap,write_cost_high,0,1057883.0,dedup_pressure
42,qmap,write_cost_high,0,1057611.0,dedup_pressure
2026,qmap,write_cost_high,0,1057762.0,dedup_pressure
,random,write_cost_high,0,1062190.0,dedup_pressure
,random,write_cost_high,1,1062137.0,dedup_pressure
,random,write_cost_high,2,1062481.0,dedup_pressure
,lru,write_cost_high,0,1057557.0,dedup_pressure
,lfu,write_cost_high,0,2761483.0,dedup_pressure
,clock,write_cost_high,0,1057701.0,dedup_pressure
3136859,qmap,write_cost_low,0,229092.0,canneal
42,qmap,write_cost_low,0,226254.0,canneal
2026,qmap,write_cost_low,0,226947.0,canneal
,random,write_cost_low,0,244843.0,canneal
,random,write_cost_low,1,244767.0,canneal
,random,write_cost_low,2,244898.0,canneal
,lru,write_cost_low,0,227178.0,canneal
,lfu,write_cost_low,0,263945.0,canneal
,clock,write_cost_low,0,233106.0,canneal
3136859,qmap,write_cost_low,0,230624.0,streamcluster_pressure
42,qmap,write_cost_low,0,230624.0,streamcluster_pressure
2026,qmap,write_cost_low,0,230624.0,streamcluster_pressure
,random,write_cost_low,0,238428.0,streamcluster_pressure
,random,write_cost_low,1,237886.0,streamcluster_pressure
,random,write_cost_low,2,238578.0,streamcluster_pressure
,lru,write_cost_low,0,232008.0,streamcluster_pressure
,lfu,write_cost_low,0,237664.0,streamcluster_pressure
,clock,write_cost_low,0,235759.0,streamcluster_pressure
3136859,qmap,write_cost_low,0,1039391.0,dedup_pressure
42,qmap,write_cost_low,0,1039107.0,dedup_pressure
2026,qmap,write_cost_low,0,1039270.0,dedup_pressure
,random,write_cost_low,0,1042354.0,dedup_pressure
,random,write_cost_low,1,1042337.0,dedup_pressure
,random,write_cost_low,2,1042405.0,dedup_pressure
,lru,write_cost_low,0,1039005.0,dedup_pressure
,lfu,write_cost_low,0,2177515.0,dedup_pressure
,clock,write_cost_low,0,1039101.0,dedup_pressure
