migrations,model_seed,nvm_writes,policy,replay_seed,replay_wall_seconds,throughput_accesses_per_second,workload
2636,3136859,16,qmap,0,10.19411435299844,19619.163869902353,canneal
2378,42,16,qmap,0,9.19037262799975,21761.90325413707,canneal
2441,2026,16,qmap,0,9.580286894997698,20876.201536764944,canneal
4053,,98,random,0,0.3674657330120681,544268.4365712863,canneal
4045,,104,random,1,0.31786144599027466,629204.9650026421,canneal
4058,,98,random,2,0.3462639999925159,577593.9745521416,canneal
2462,,16,lru,0,0.30779286900360603,649787.6336363623,canneal
5687,,662,lfu,0,0.4301719020004384,464930.4128650322,canneal
3000,,21,clock,0,0.37394872900040355,534832.6775561367,canneal
2778,3136859,1,qmap,0,10.685070300998632,18717.70558040296,streamcluster_pressure
2778,42,1,qmap,0,10.575529173001996,18911.583215199764,streamcluster_pressure
2778,2026,1,qmap,0,10.432474617002299,19170.906936504834,streamcluster_pressure
3482,,31,random,0,0.3037371090031229,658464.1588787352,streamcluster_pressure
3432,,35,random,1,0.3377279050037032,592192.7002087879,streamcluster_pressure
3494,,40,random,2,0.3081004999985453,649138.8361945025,streamcluster_pressure
2900,,22,lru,0,0.3020596599963028,662120.853881806,streamcluster_pressure
3410,,45,lfu,0,0.37130900099873543,538634.9360291461,streamcluster_pressure
3239,,33,clock,0,0.35940108499198686,556481.3473071712,streamcluster_pressure
3295,3136859,1541,qmap,0,14.376949625002453,69555.78381250879,dedup_pressure
3269,42,1542,qmap,0,14.326657249999698,69799.95281174337,dedup_pressure
3284,2026,1541,qmap,0,14.605540807009675,68467.16689327022,dedup_pressure
3544,,1653,random,0,1.4249003599979915,701803.4580336618,dedup_pressure
3543,,1650,random,1,1.4167838580033276,705823.9648560785,dedup_pressure
3545,,1673,random,2,1.4127021660096943,707863.2878610152,dedup_pressure
3259,,1546,lru,0,1.4338721980020637,697412.2250179516,dedup_pressure
98193,,48664,lfu,0,3.8323300699994434,260937.85810055377,dedup_pressure
3267,,1550,clock,0,1.4006346449896228,713962.062538735,dedup_pressure
