workload,policy,policy_display,weighted_access_cost,delta_vs_qmap_percent,hit_rate_percent,nvm_writes,migrations,decision_count,avg_decision_time_ms,artifact
blackscholes,qmap,QMAP-CrossAttn,105983.0,0.0,99.459,32,525,525,3.4592281698825813,outputs/results/real_workload_suite/1m/parsec_blackscholes/qmap.json
blackscholes,kleio_lite,Kleio-lite,110390.0,4.158214053197211,99.042,2,942,942,0.06884891928357494,outputs/results/ml_baselines/blackscholes/kleio_lite.json
blackscholes,patterns_lite,PatternS-lite,107207.0,1.1549022012964343,99.357,49,627,627,0.07514165754487925,outputs/results/ml_baselines/blackscholes/patterns_lite.json
blackscholes,lru,LRU,112958.0,6.581244161799534,98.886,144,1098,1098,0.0003067416500279812,outputs/results/ml_baselines/blackscholes/lru.json
blackscholes,random,RANDOM,115505.0,8.984459771850203,98.655,145,1329,1329,0.0012566863178668658,outputs/results/ml_baselines/blackscholes/random.json
blackscholes,lfu,LFU,106952.0,0.9142975760263439,99.47399999999999,221,510,510,0.0063730773570783,outputs/results/ml_baselines/blackscholes/lfu.json
blackscholes,clock,CLOCK,110437.0,4.2025607880509135,99.095,107,889,889,0.0020863885883371795,outputs/results/ml_baselines/blackscholes/clock.json
canneal,qmap,QMAP-CrossAttn,150263.0,0.0,95.439,42,4545,4545,2.419797048060791,outputs/results/real_workload_suite/1m/parsec_canneal/qmap.json
canneal,kleio_lite,Kleio-lite,124825.0,-16.928984513819103,97.757,52,2227,2227,0.06840809195695113,outputs/results/ml_baselines/canneal/kleio_lite.json
canneal,patterns_lite,PatternS-lite,137429.0,-8.541024736628446,96.639,103,3345,3345,0.09772475406538655,outputs/results/ml_baselines/canneal/patterns_lite.json
canneal,lru,LRU,126178.0,-16.02856325243074,97.634,52,2350,2350,0.0003291088889570946,outputs/results/ml_baselines/canneal/lru.json
canneal,random,RANDOM,139465.0,-7.18606709569222,96.503,193,3481,3481,0.0012206451828770512,outputs/results/ml_baselines/canneal/random.json
canneal,lfu,LFU,159919.0,6.426066297092431,94.691,280,5293,5293,0.006163180657061921,outputs/results/ml_baselines/canneal/lfu.json
canneal,clock,CLOCK,126325.0,-15.930734778355284,97.625,60,2359,2359,0.0017546474595679323,outputs/results/ml_baselines/canneal/clock.json
streamcluster_pressure,qmap,QMAP-CrossAttn,269095.0,0.0,97.0015,548,5981,5981,2.346489767054564,outputs/results/real_workload_suite_pressure/selected/parsec_streamcluster/qmap.json
streamcluster_pressure,kleio_lite,Kleio-lite,331941.0,23.35457737973578,94.1855,697,11613,11613,0.0658551908727624,outputs/results/ml_baselines/streamcluster_pressure/kleio_lite.json
streamcluster_pressure,patterns_lite,PatternS-lite,332226.0,23.460487931771308,94.15400000000001,629,11676,11676,0.08504510217139823,outputs/results/ml_baselines/streamcluster_pressure/patterns_lite.json
streamcluster_pressure,lru,LRU,305562.0,13.551719652910682,95.354,585,9276,9276,0.0003071473939516977,outputs/results/ml_baselines/streamcluster_pressure/lru.json
streamcluster_pressure,random,RANDOM,314183.0,16.755420947992345,95.0145,777,9955,9955,0.0012262017311297248,outputs/results/ml_baselines/streamcluster_pressure/random.json
streamcluster_pressure,lfu,LFU,361877.0,34.47927311915866,92.8365,740,14311,14311,0.006037342826302893,outputs/results/ml_baselines/streamcluster_pressure/lfu.json
streamcluster_pressure,clock,CLOCK,301767.0,12.141437038963934,95.5235,574,8937,8937,0.001554929662678844,outputs/results/ml_baselines/streamcluster_pressure/clock.json
dedup_pressure,qmap,QMAP-CrossAttn,201567.0,0.0,99.9485,99,87,87,9.032019925164594,outputs/results/real_workload_suite_pressure/selected/parsec_dedup/qmap.json
dedup_pressure,kleio_lite,Kleio-lite,201567.0,0.0,99.9485,99,87,87,0.07648647484508739,outputs/results/ml_baselines/dedup_pressure/kleio_lite.json
dedup_pressure,patterns_lite,PatternS-lite,201567.0,0.0,99.9485,99,87,87,0.23030833041445278,outputs/results/ml_baselines/dedup_pressure/patterns_lite.json
dedup_pressure,lru,LRU,201567.0,0.0,99.9485,99,87,87,0.0005245219445091555,outputs/results/ml_baselines/dedup_pressure/lru.json
dedup_pressure,random,RANDOM,202076.0,0.2525214940937753,99.92699999999999,105,130,130,0.002074607003193635,outputs/results/ml_baselines/dedup_pressure/random.json
dedup_pressure,lfu,LFU,203845.0,1.1301453114845188,99.8815,233,221,221,0.006810310022795901,outputs/results/ml_baselines/dedup_pressure/lfu.json
dedup_pressure,clock,CLOCK,201584.0,0.008433920234959095,99.94800000000001,100,88,88,0.001759577902372588,outputs/results/ml_baselines/dedup_pressure/clock.json
