parameter,value,history_length,candidate_count,dram_capacity,lookahead,hit_rate_percent,hit_rate_delta_pp,weighted_access_cost,cost_delta_percent,nvm_writes,nvm_writes_delta_percent,nvm_reads,migrations,avg_decision_time_ms,decision_count,run_id,result_dir,checkpoint
history_length,5,5,64,128,256,59.85,0.15000000000000568,10213.0,-0.263671875,110,0.9174311926605505,693,675,3.3703224064299353,675,h5_c64_d128_l256,outputs/results/qmap_parameter_sensitivity/runs/h5_c64_d128_l256,outputs/checkpoints/qmap_parameter_sensitivity/h5_c64_d128_l256/qmap_epoch_10.pth
history_length,10,10,64,128,256,59.699999999999996,0.0,10240.0,0.0,109,0.0,697,678,3.3542560897685125,678,h10_c64_d128_l256,outputs/results/qmap_parameter_sensitivity/runs/h10_c64_d128_l256,outputs/checkpoints/qmap_parameter_sensitivity/h10_c64_d128_l256/qmap_epoch_10.pth
history_length,20,20,64,128,256,59.699999999999996,0.0,10240.0,0.0,109,0.0,697,678,3.363553222384205,678,h20_c64_d128_l256,outputs/results/qmap_parameter_sensitivity/runs/h20_c64_d128_l256,outputs/checkpoints/qmap_parameter_sensitivity/h20_c64_d128_l256/qmap_epoch_10.pth
history_length,50,50,64,128,256,59.650000000000006,-0.04999999999999005,10257.0,0.166015625,110,0.9174311926605505,697,679,3.407668105953418,679,h50_c64_d128_l256,outputs/results/qmap_parameter_sensitivity/runs/h50_c64_d128_l256,outputs/checkpoints/qmap_parameter_sensitivity/h50_c64_d128_l256/qmap_epoch_10.pth
candidate_count,16,10,16,128,256,57.35,-2.3499999999999943,10877.0,6.220703125,129,18.34862385321101,724,725,3.0711129972518516,725,h10_c16_d128_l256,outputs/results/qmap_parameter_sensitivity/runs/h10_c16_d128_l256,outputs/checkpoints/qmap_parameter_sensitivity/h10_c16_d128_l256/qmap_epoch_10.pth
candidate_count,32,10,32,128,256,59.550000000000004,-0.14999999999999147,10315.0,0.732421875,116,6.422018348623853,693,681,3.1604770538171483,681,h10_c32_d128_l256,outputs/results/qmap_parameter_sensitivity/runs/h10_c32_d128_l256,outputs/checkpoints/qmap_parameter_sensitivity/h10_c32_d128_l256/qmap_epoch_10.pth
candidate_count,64,10,64,128,256,59.699999999999996,0.0,10240.0,0.0,109,0.0,697,678,3.3542560897685125,678,h10_c64_d128_l256,outputs/results/qmap_parameter_sensitivity/runs/h10_c64_d128_l256,outputs/checkpoints/qmap_parameter_sensitivity/h10_c64_d128_l256/qmap_epoch_10.pth
dram_capacity,64,10,64,64,256,50.9,-8.799999999999997,12924.0,26.2109375,127,16.513761467889907,855,918,3.0441101392414542,918,h10_c64_d64_l256,outputs/results/qmap_parameter_sensitivity/runs/h10_c64_d64_l256,outputs/checkpoints/qmap_parameter_sensitivity/h10_c64_d64_l256/qmap_epoch_10.pth
dram_capacity,128,10,64,128,256,59.699999999999996,0.0,10240.0,0.0,109,0.0,697,678,3.3542560897685125,678,h10_c64_d128_l256,outputs/results/qmap_parameter_sensitivity/runs/h10_c64_d128_l256,outputs/checkpoints/qmap_parameter_sensitivity/h10_c64_d128_l256/qmap_epoch_10.pth
dram_capacity,256,10,64,256,256,70.95,11.250000000000007,6323.0,-38.251953125,82,-24.770642201834864,499,325,4.224906070874288,325,h10_c64_d256_l256,outputs/results/qmap_parameter_sensitivity/runs/h10_c64_d256_l256,outputs/checkpoints/qmap_parameter_sensitivity/h10_c64_d256_l256/qmap_epoch_10.pth
lookahead,128,10,64,128,128,59.35,-0.3499999999999943,10323.0,0.810546875,110,0.9174311926605505,703,685,3.248580218544298,685,h10_c64_d128_l128,outputs/results/qmap_parameter_sensitivity/runs/h10_c64_d128_l128,outputs/checkpoints/qmap_parameter_sensitivity/h10_c64_d128_l128/qmap_epoch_10.pth
lookahead,256,10,64,128,256,59.699999999999996,0.0,10240.0,0.0,109,0.0,697,678,3.3542560897685125,678,h10_c64_d128_l256,outputs/results/qmap_parameter_sensitivity/runs/h10_c64_d128_l256,outputs/checkpoints/qmap_parameter_sensitivity/h10_c64_d128_l256/qmap_epoch_10.pth
lookahead,512,10,64,128,512,59.9,0.20000000000000284,10220.0,-0.1953125,113,3.669724770642202,689,674,3.3148789338944398,674,h10_c64_d128_l512,outputs/results/qmap_parameter_sensitivity/runs/h10_c64_d128_l512,outputs/checkpoints/qmap_parameter_sensitivity/h10_c64_d128_l512/qmap_epoch_10.pth
