workload,policy,hit_rate,hit_rate_percent,nvm_writes,weighted_access_cost,migrations,avg_decision_time_ms,decision_count,total_accesses,misses,nvm_reads,train_trace,valid_trace,test_trace,jsonl,checkpoint
parsec_blackscholes,lru,0.9899,98.99,12,11023.0,85,0.0003110617399215698,85,10000,101,89,dataset/processed/parsec_blackscholes_train.csv,dataset/processed/parsec_blackscholes_valid.csv,dataset/processed/parsec_blackscholes_test.csv,,
parsec_blackscholes,random,0.9833,98.33,22,11809.0,151,0.001227375218607732,151,10000,167,145,dataset/processed/parsec_blackscholes_train.csv,dataset/processed/parsec_blackscholes_valid.csv,dataset/processed/parsec_blackscholes_test.csv,,
parsec_blackscholes,lfu,0.9676,96.76,24,13548.0,308,0.0064550058359836605,308,10000,324,300,dataset/processed/parsec_blackscholes_train.csv,dataset/processed/parsec_blackscholes_valid.csv,dataset/processed/parsec_blackscholes_test.csv,,
parsec_blackscholes,clock,0.9887,98.87,12,11155.0,97,0.002124898865358117,97,10000,113,101,dataset/processed/parsec_blackscholes_train.csv,dataset/processed/parsec_blackscholes_valid.csv,dataset/processed/parsec_blackscholes_test.csv,,
parsec_blackscholes,qmap,0.9242,92.42,38,18406.0,742,3.2652160202999,742,10000,758,720,dataset/processed/parsec_blackscholes_train.csv,dataset/processed/parsec_blackscholes_valid.csv,dataset/processed/parsec_blackscholes_test.csv,dataset/jsonl/real_pilot_dram16/parsec_blackscholes_train.jsonl,outputs/checkpoints/real_pilot_dram16/parsec_blackscholes/qmap_epoch_10.pth
parsec_canneal,lru,0.9417,94.17,41,16499.0,567,0.0002887913040698521,567,10000,583,542,dataset/processed/parsec_canneal_train.csv,dataset/processed/parsec_canneal_valid.csv,dataset/processed/parsec_canneal_test.csv,,
parsec_canneal,random,0.9378,93.78,55,17012.0,606,0.0011964044887142213,606,10000,622,567,dataset/processed/parsec_canneal_train.csv,dataset/processed/parsec_canneal_valid.csv,dataset/processed/parsec_canneal_test.csv,,
parsec_canneal,lfu,0.9598,95.98,52,14574.0,386,0.006900422294368398,386,10000,402,350,dataset/processed/parsec_canneal_train.csv,dataset/processed/parsec_canneal_valid.csv,dataset/processed/parsec_canneal_test.csv,,
parsec_canneal,clock,0.9447,94.47,37,16145.0,537,0.0018123459258226043,537,10000,553,516,dataset/processed/parsec_canneal_train.csv,dataset/processed/parsec_canneal_valid.csv,dataset/processed/parsec_canneal_test.csv,,
parsec_canneal,qmap,0.9463,94.63000000000001,47,16029.0,521,3.571660096101077,521,10000,537,490,dataset/processed/parsec_canneal_train.csv,dataset/processed/parsec_canneal_valid.csv,dataset/processed/parsec_canneal_test.csv,dataset/jsonl/real_pilot_dram16/parsec_canneal_train.jsonl,outputs/checkpoints/real_pilot_dram16/parsec_canneal/qmap_epoch_10.pth
parsec_streamcluster,lru,0.9409,94.08999999999999,41,16587.0,575,0.0003547456277453381,575,10000,591,550,dataset/processed/parsec_streamcluster_train.csv,dataset/processed/parsec_streamcluster_valid.csv,dataset/processed/parsec_streamcluster_test.csv,,
parsec_streamcluster,random,0.9373,93.73,51,17043.0,611,0.0015234189037898168,611,10000,627,576,dataset/processed/parsec_streamcluster_train.csv,dataset/processed/parsec_streamcluster_valid.csv,dataset/processed/parsec_streamcluster_test.csv,,
parsec_streamcluster,lfu,0.9605,96.05,48,14473.0,379,0.009193999255395501,379,10000,395,347,dataset/processed/parsec_streamcluster_train.csv,dataset/processed/parsec_streamcluster_valid.csv,dataset/processed/parsec_streamcluster_test.csv,,
parsec_streamcluster,clock,0.9432,94.32000000000001,32,16280.0,552,0.00175811600048041,552,10000,568,536,dataset/processed/parsec_streamcluster_train.csv,dataset/processed/parsec_streamcluster_valid.csv,dataset/processed/parsec_streamcluster_test.csv,,
parsec_streamcluster,qmap,0.9427,94.27,49,16437.0,557,3.4741368437356432,557,10000,573,524,dataset/processed/parsec_streamcluster_train.csv,dataset/processed/parsec_streamcluster_valid.csv,dataset/processed/parsec_streamcluster_test.csv,dataset/jsonl/real_pilot_dram16/parsec_streamcluster_train.jsonl,outputs/checkpoints/real_pilot_dram16/parsec_streamcluster/qmap_epoch_10.pth
parsec_dedup,lru,0.999,99.9,7,10052.0,0,0.0,0,10000,10,3,dataset/processed/parsec_dedup_train.csv,dataset/processed/parsec_dedup_valid.csv,dataset/processed/parsec_dedup_test.csv,,
parsec_dedup,random,0.999,99.9,7,10052.0,0,0.0,0,10000,10,3,dataset/processed/parsec_dedup_train.csv,dataset/processed/parsec_dedup_valid.csv,dataset/processed/parsec_dedup_test.csv,,
parsec_dedup,lfu,0.999,99.9,7,10052.0,0,0.0,0,10000,10,3,dataset/processed/parsec_dedup_train.csv,dataset/processed/parsec_dedup_valid.csv,dataset/processed/parsec_dedup_test.csv,,
parsec_dedup,clock,0.999,99.9,7,10052.0,0,0.0,0,10000,10,3,dataset/processed/parsec_dedup_train.csv,dataset/processed/parsec_dedup_valid.csv,dataset/processed/parsec_dedup_test.csv,,
parsec_dedup,qmap,0.999,99.9,7,10052.0,0,0.0,0,10000,10,3,dataset/processed/parsec_dedup_train.csv,dataset/processed/parsec_dedup_valid.csv,dataset/processed/parsec_dedup_test.csv,dataset/jsonl/real_pilot_dram16/parsec_dedup_train.jsonl,outputs/checkpoints/real_pilot_dram16/parsec_dedup/qmap_epoch_10.pth
