epoch,eval_candidate_count,policy,weighted_access_cost,hit_rate_percent,nvm_writes,migrations,decision_count,avg_decision_time_ms,delta_vs_best_baseline_percent,diagnostic_decisions,worse_than_lru,short_reuse_le_10,chosen_median,chosen_p25,chosen_p75,chosen_inf_count,lru_median,lru_p25,lru_p75,lru_inf_count,top_ranks,checkpoint
baseline,,lru,126178.0,97.634,52,2350,2350,0.0003000887784552067,0.0,,,,,,,,,,,,,
baseline,,random,139465.0,96.503,193,3481,3481,0.001120914006003769,0.0,,,,,,,,,,,,,
baseline,,lfu,159919.0,94.691,280,5293,5293,0.005805734812441968,0.0,,,,,,,,,,,,,
baseline,,clock,126325.0,97.625,60,2359,2359,0.001695318382048617,0.0,,,,,,,,,,,,,
1,1,qmap,126178.0,97.634,52,2350,2350,2.4331262430295033,0.0,2350,0,194,168,70.0,311.0,73,168,70.0,311.0,73,"[(0, 2350)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_1.pth
1,2,qmap,125100.0,97.732,52,2252,2252,2.4554152496582557,-0.8543486186181426,2252,179,159,181,87.0,340.5,73,155.0,60.0,299.75,62,"[(0, 1611), (1, 641)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_1.pth
1,4,qmap,129818.0,97.30199999999999,50,2682,2682,2.5106919523103524,2.88481351741191,2682,1735,142,182,64.0,318.0,73,255.5,100.75,758.0,1230,"[(3, 1355), (1, 605), (0, 377), (2, 345)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_1.pth
1,8,qmap,139879.0,96.389,53,3595,3595,2.44240906537719,10.858469780785875,3595,2782,97,148.0,63.0,305.75,73,229,69.5,700.5,2264,"[(7, 1700), (6, 719), (5, 489), (4, 240), (2, 126), (3, 118), (1, 114), (0, 89)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_1.pth
2,1,qmap,126178.0,97.634,52,2350,2350,2.425344671182176,0.0,2350,0,194,168,70.0,311.0,73,168,70.0,311.0,73,"[(0, 2350)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_2.pth
2,2,qmap,129720.0,97.312,52,2672,2672,2.4218125738312275,2.807145461173897,2672,1237,225,157,51.0,289.5,73,151.0,93.0,236.75,1126,"[(1, 1809), (0, 863)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_2.pth
2,4,qmap,135648.0,96.772,50,3212,3212,2.395516288858765,7.505270332387579,3212,2203,186,155,52.0,295.0,73,165,79.0,518.0,1811,"[(3, 2394), (1, 320), (0, 301), (2, 197)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_2.pth
2,8,qmap,151181.0,95.36099999999999,52,4623,4623,2.3483962714857425,19.815657246112636,4623,3763,257,108.0,46.0,274.0,73,183.5,50.0,681.5,3331,"[(7, 3341), (6, 364), (4, 270), (5, 168), (1, 137), (3, 123), (2, 118), (0, 102)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_2.pth
3,1,qmap,126178.0,97.634,52,2350,2350,2.417034042127272,0.0,2350,0,194,168,70.0,311.0,73,168,70.0,311.0,73,"[(0, 2350)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_3.pth
3,2,qmap,129907.0,97.295,52,2689,2689,2.392163182417947,2.9553487929750037,2689,1246,231,155.0,51.0,289.0,73,152.0,101.0,261.5,1125,"[(1, 1738), (0, 951)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_3.pth
3,4,qmap,135758.0,96.762,50,3222,3222,2.368782931958423,7.592448762858819,3222,2225,184,155,52.0,292.0,73,171,74.0,536.0,1811,"[(3, 2370), (1, 388), (0, 254), (2, 210)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_3.pth
3,8,qmap,144080.0,96.006,51,3978,3978,2.3587091231007875,14.187893293601103,3978,3111,130,129,59.0,293.0,73,172.5,50.0,656.5,2680,"[(7, 2164), (6, 799), (4, 271), (5, 224), (1, 152), (2, 127), (3, 123), (0, 118)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_3.pth
4,1,qmap,126178.0,97.634,52,2350,2350,2.4309422588966627,0.0,2350,0,194,168,70.0,311.0,73,168,70.0,311.0,73,"[(0, 2350)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_4.pth
4,2,qmap,129610.0,97.322,52,2662,2662,2.380873405309513,2.719967030702658,2662,1231,225,157,54.0,293.0,73,150,98.0,242.0,1135,"[(1, 1741), (0, 921)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_4.pth
4,4,qmap,135736.0,96.764,50,3220,3220,2.399805210883619,7.575013076764571,3220,2200,181,155,51.0,292.5,73,168.5,78.0,472.5,1812,"[(3, 2365), (0, 317), (1, 303), (2, 235)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_4.pth
4,8,qmap,152961.0,95.197,48,4787,4787,2.3710015003227207,21.226362757374503,4787,3884,275,105.0,42.0,267.0,73,156.0,44.25,479.75,3497,"[(7, 3629), (4, 246), (6, 225), (1, 168), (5, 147), (2, 133), (3, 133), (0, 106)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_4.pth
5,1,qmap,126178.0,97.634,52,2350,2350,2.436419885724466,0.0,2350,0,194,168,70.0,311.0,73,168,70.0,311.0,73,"[(0, 2350)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_5.pth
5,2,qmap,129797.0,97.30499999999999,52,2679,2679,2.459866057847776,2.8681703625037644,2679,1236,229,155.0,54.0,292.75,73,150.0,103.0,247.0,1131,"[(1, 1731), (0, 948)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_5.pth
