epoch,policy,weighted_access_cost,hit_rate_percent,nvm_writes,migrations,decision_count,avg_decision_time_ms,delta_vs_best_baseline_percent,diagnostic_decisions,worse_than_lru,short_reuse_le_10,chosen_median,chosen_p25,chosen_p75,chosen_inf_count,lru_median,lru_p25,lru_p75,lru_inf_count,top_ranks,checkpoint
baseline,lru,126178.0,97.634,52,2350,2350,0.00028120948279157596,0.0,,,,,,,,,,,,,
baseline,random,139465.0,96.503,193,3481,3481,0.0011580038405858521,0.0,,,,,,,,,,,,,
baseline,lfu,159919.0,94.691,280,5293,5293,0.005684675282473017,0.0,,,,,,,,,,,,,
baseline,clock,126325.0,97.625,60,2359,2359,0.0016617554351655848,0.0,,,,,,,,,,,,,
1,qmap,139879.0,96.389,53,3595,3595,2.3530173242371917,10.858469780785875,3595,2782,97,148.0,63.0,305.75,73,229,69.5,700.5,2264,"[(7, 1700), (6, 719), (5, 489), (4, 240), (2, 126), (3, 118), (1, 114), (0, 89)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_1.pth
2,qmap,151181.0,95.36099999999999,52,4623,4623,2.3546118650641015,19.815657246112636,4623,3763,257,108.0,46.0,274.0,73,183.5,50.0,681.5,3331,"[(7, 3341), (6, 364), (4, 270), (5, 168), (1, 137), (3, 123), (2, 118), (0, 102)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_2.pth
3,qmap,144080.0,96.006,51,3978,3978,2.3938594709064804,14.187893293601103,3978,3111,130,129,59.0,293.0,73,172.5,50.0,656.5,2680,"[(7, 2164), (6, 799), (4, 271), (5, 224), (1, 152), (2, 127), (3, 123), (0, 118)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_3.pth
4,qmap,152961.0,95.197,48,4787,4787,2.4013598955364586,21.226362757374503,4787,3884,275,105.0,42.0,267.0,73,156.0,44.25,479.75,3497,"[(7, 3629), (4, 246), (6, 225), (1, 168), (5, 147), (2, 133), (3, 133), (0, 106)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_4.pth
5,qmap,147098.0,95.73,48,4254,4254,2.403124006242646,16.579752413257463,4254,3357,149,120,56.0,286.0,73,171.5,50.0,570.5,2956,"[(7, 2678), (6, 606), (4, 235), (5, 187), (1, 173), (3, 141), (0, 124), (2, 110)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_5.pth
6,qmap,152872.0,95.204,46,4780,4780,2.3339909389342286,21.15582748181141,4780,3900,280,105,42.0,269.0,73,164.0,48.5,479.75,3498,"[(7, 3644), (4, 240), (6, 239), (1, 162), (5, 157), (3, 124), (2, 109), (0, 105)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_6.pth
7,qmap,147098.0,95.73,48,4254,4254,2.3754284558200367,16.579752413257463,4254,3358,161,120,55.0,286.0,73,169,50.0,477.0,2949,"[(7, 2683), (6, 639), (4, 242), (5, 201), (1, 156), (3, 130), (0, 105), (2, 98)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_7.pth
8,qmap,152882.0,95.202,44,4782,4782,2.4136895515820824,21.16375279367243,4782,3901,276,105,41.0,268.0,73,161.0,44.0,544.0,3498,"[(7, 3630), (6, 236), (4, 235), (5, 175), (1, 165), (3, 127), (2, 108), (0, 106)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_8.pth
9,qmap,149919.0,95.473,47,4511,4511,2.4011780977962656,18.81548288925169,4511,3654,220,112.0,49.0,277.0,73,192,52.5,533.5,3220,"[(7, 3137), (6, 459), (4, 249), (5, 177), (1, 165), (3, 125), (0, 108), (2, 91)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_9.pth
10,qmap,150559.0,95.417,51,4567,4567,2.3438421136960437,19.322702848357082,4567,3669,240,110.0,48.0,274.0,73,157.5,44.0,453.25,3277,"[(7, 3288), (6, 409), (4, 237), (5, 156), (1, 145), (0, 116), (2, 109), (3, 107)]",outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_10.pth
