workload,policy,hit_rate,hit_rate_percent,nvm_writes,weighted_access_cost,migrations,avg_decision_time_ms,decision_count,total_accesses,misses,nvm_reads,train_trace,valid_trace,test_trace,jsonl,checkpoint
parsec_blackscholes,lru,0.9899,98.99,12,11023.0,85,0.00030565459062071405,85,10000,101,89,dataset/processed/real_workload_suite/1m/parsec_blackscholes_train.csv,dataset/processed/real_workload_suite/1m/parsec_blackscholes_valid.csv,dataset/processed/real_workload_suite/1m/parsec_blackscholes_test.csv,,
parsec_blackscholes,random,0.9833,98.33,22,11809.0,151,0.0012558884918689728,151,10000,167,145,dataset/processed/real_workload_suite/1m/parsec_blackscholes_train.csv,dataset/processed/real_workload_suite/1m/parsec_blackscholes_valid.csv,dataset/processed/real_workload_suite/1m/parsec_blackscholes_test.csv,,
parsec_blackscholes,lfu,0.9676,96.76,24,13548.0,308,0.006799938387007682,308,10000,324,300,dataset/processed/real_workload_suite/1m/parsec_blackscholes_train.csv,dataset/processed/real_workload_suite/1m/parsec_blackscholes_valid.csv,dataset/processed/real_workload_suite/1m/parsec_blackscholes_test.csv,,
parsec_blackscholes,clock,0.9887,98.87,12,11155.0,97,0.0018191994311883277,97,10000,113,101,dataset/processed/real_workload_suite/1m/parsec_blackscholes_train.csv,dataset/processed/real_workload_suite/1m/parsec_blackscholes_valid.csv,dataset/processed/real_workload_suite/1m/parsec_blackscholes_test.csv,,
parsec_blackscholes,qmap,0.9885,98.85000000000001,9,11159.0,99,8.098019117658788,99,10000,115,106,dataset/processed/real_workload_suite/1m/parsec_blackscholes_train.csv,dataset/processed/real_workload_suite/1m/parsec_blackscholes_valid.csv,dataset/processed/real_workload_suite/1m/parsec_blackscholes_test.csv,dataset/jsonl/real_workload_suite/1m/parsec_blackscholes_train.jsonl,/home/likc/Q-former-for-OS/outputs/checkpoints/real_workload_suite/1m/parsec_blackscholes/qmap_epoch_10.pth
parsec_canneal,lru,0.9417,94.17,41,16499.0,567,0.00031531018055515526,567,10000,583,542,dataset/processed/real_workload_suite/1m/parsec_canneal_train.csv,dataset/processed/real_workload_suite/1m/parsec_canneal_valid.csv,dataset/processed/real_workload_suite/1m/parsec_canneal_test.csv,,
parsec_canneal,random,0.9378,93.78,55,17012.0,606,0.0013962884436641196,606,10000,622,567,dataset/processed/real_workload_suite/1m/parsec_canneal_train.csv,dataset/processed/real_workload_suite/1m/parsec_canneal_valid.csv,dataset/processed/real_workload_suite/1m/parsec_canneal_test.csv,,
parsec_canneal,lfu,0.9598,95.98,52,14574.0,386,0.005984226473332069,386,10000,402,350,dataset/processed/real_workload_suite/1m/parsec_canneal_train.csv,dataset/processed/real_workload_suite/1m/parsec_canneal_valid.csv,dataset/processed/real_workload_suite/1m/parsec_canneal_test.csv,,
parsec_canneal,clock,0.9447,94.47,37,16145.0,537,0.0015246617699690593,537,10000,553,516,dataset/processed/real_workload_suite/1m/parsec_canneal_train.csv,dataset/processed/real_workload_suite/1m/parsec_canneal_valid.csv,dataset/processed/real_workload_suite/1m/parsec_canneal_test.csv,,
parsec_canneal,qmap,0.9608,96.08,41,14398.0,376,3.875590467013102,376,10000,392,351,dataset/processed/real_workload_suite/1m/parsec_canneal_train.csv,dataset/processed/real_workload_suite/1m/parsec_canneal_valid.csv,dataset/processed/real_workload_suite/1m/parsec_canneal_test.csv,dataset/jsonl/real_workload_suite/1m/parsec_canneal_train.jsonl,/home/likc/Q-former-for-OS/outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_10.pth
parsec_streamcluster,lru,0.9409,94.08999999999999,41,16587.0,575,0.0004185865754666536,575,10000,591,550,dataset/processed/real_workload_suite/1m/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite/1m/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite/1m/parsec_streamcluster_test.csv,,
parsec_streamcluster,random,0.9373,93.73,51,17043.0,611,0.001281066210833782,611,10000,627,576,dataset/processed/real_workload_suite/1m/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite/1m/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite/1m/parsec_streamcluster_test.csv,,
parsec_streamcluster,lfu,0.9605,96.05,48,14473.0,379,0.006476563394148305,379,10000,395,347,dataset/processed/real_workload_suite/1m/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite/1m/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite/1m/parsec_streamcluster_test.csv,,
parsec_streamcluster,clock,0.9432,94.32000000000001,32,16280.0,552,0.0016292695468966513,552,10000,568,536,dataset/processed/real_workload_suite/1m/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite/1m/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite/1m/parsec_streamcluster_test.csv,,
