workload,policy,hit_rate,hit_rate_percent,nvm_writes,cost,migrations,decision_ms,decision_count,total_accesses,misses,nvm_reads,train_trace,test_trace,checkpoint
hotset,lru,0.865,86.5,38,3766.0,142,0.000244907503554099,142,2000,270,232,dataset/processed/hotset_train.csv,dataset/processed/hotset_test.csv,
hotset,random,0.839,83.89999999999999,55,4372.0,194,0.0008860994226385638,194,2000,322,267,dataset/processed/hotset_train.csv,dataset/processed/hotset_test.csv,
hotset,lfu,0.866,86.6,39,3746.0,140,0.022638861056683317,140,2000,268,229,dataset/processed/hotset_train.csv,dataset/processed/hotset_test.csv,
hotset,clock,0.8635,86.35000000000001,40,3803.0,145,0.0010392789182991817,145,2000,273,233,dataset/processed/hotset_train.csv,dataset/processed/hotset_test.csv,
hotset,qmap,0.8645,86.45,38,3777.0,143,5.623989845170164,143,2000,271,233,dataset/processed/hotset_train.csv,dataset/processed/hotset_test.csv,/home/tingkun/lcs/cache_replacement/outputs/checkpoints/workload_suite/hotset/qmap_epoch_10.pth
writeheavy,lru,0.713,71.3,238,7510.0,446,0.0002493527446426618,446,2000,574,336,dataset/processed/writeheavy_train.csv,dataset/processed/writeheavy_test.csv,
writeheavy,random,0.6645,66.45,310,8721.0,543,0.0008771560046801251,543,2000,671,361,dataset/processed/writeheavy_train.csv,dataset/processed/writeheavy_test.csv,
writeheavy,lfu,0.7195,71.95,224,7339.0,433,0.022637696805524084,433,2000,561,337,dataset/processed/writeheavy_train.csv,dataset/processed/writeheavy_test.csv,
writeheavy,clock,0.6805,68.05,282,8313.0,511,0.0009953204739233752,511,2000,639,357,dataset/processed/writeheavy_train.csv,dataset/processed/writeheavy_test.csv,
writeheavy,qmap,0.7345,73.45,209,6979.0,403,3.0325087808215847,403,2000,531,322,dataset/processed/writeheavy_train.csv,dataset/processed/writeheavy_test.csv,/home/tingkun/lcs/cache_replacement/outputs/checkpoints/workload_suite/writeheavy/qmap_epoch_10.pth
streaming,lru,0.0,0.0,100,22920.0,1872,0.0002404026767740456,1872,2000,2000,1900,dataset/processed/streaming_train.csv,dataset/processed/streaming_test.csv,
streaming,random,0.0,0.0,100,22920.0,1872,0.0008440111454329493,1872,2000,2000,1900,dataset/processed/streaming_train.csv,dataset/processed/streaming_test.csv,
streaming,lfu,0.0,0.0,100,22920.0,1872,0.021079982320965134,1872,2000,2000,1900,dataset/processed/streaming_train.csv,dataset/processed/streaming_test.csv,
streaming,clock,0.0,0.0,100,22920.0,1872,0.0008937140203351713,1872,2000,2000,1900,dataset/processed/streaming_train.csv,dataset/processed/streaming_test.csv,
streaming,qmap,0.007,0.7000000000000001,99,22764.0,1858,2.075083283742587,1858,2000,1986,1887,dataset/processed/streaming_train.csv,dataset/processed/streaming_test.csv,/home/tingkun/lcs/cache_replacement/outputs/checkpoints/workload_suite/streaming/qmap_epoch_10.pth
phasechange,lru,0.6225,62.25000000000001,188,9401.0,627,0.00024063084155701375,627,2000,755,567,dataset/processed/phasechange_train.csv,dataset/processed/phasechange_test.csv,
phasechange,random,0.5385,53.849999999999994,222,11317.0,795,0.0008473106888386439,795,2000,923,701,dataset/processed/phasechange_train.csv,dataset/processed/phasechange_test.csv,
phasechange,lfu,0.717,71.7,112,7170.0,438,0.022477303689014013,438,2000,566,454,dataset/processed/phasechange_train.csv,dataset/processed/phasechange_test.csv,
phasechange,clock,0.549,54.900000000000006,233,11108.0,774,0.0010231222225791107,774,2000,902,669,dataset/processed/phasechange_train.csv,dataset/processed/phasechange_test.csv,
phasechange,qmap,0.6125,61.25000000000001,172,9589.0,647,2.5807199011869164,647,2000,775,603,dataset/processed/phasechange_train.csv,dataset/processed/phasechange_test.csv,/home/tingkun/lcs/cache_replacement/outputs/checkpoints/workload_suite/phasechange/qmap_epoch_10.pth
