cost_model,workload,best_baseline_policy,best_baseline_cost,qmap_cost,delta_percent,qmap_nvm_writes,qmap_migrations,qmap_hit_rate_percent,qmap_decision_count
default,streamcluster_pressure,clock,301767.0,269095.0,-10.826896247767317,548,5981,97.0015,5981
mild,streamcluster_pressure,clock,254786.0,236998.0,-6.9815452968373455,548,5981,97.0015,5981
write-heavy,streamcluster_pressure,clock,306359.0,273479.0,-10.732506634373399,548,5981,97.0015,5981
migration-heavy,streamcluster_pressure,clock,391137.0,328905.0,-15.910537739973462,548,5981,97.0015,5981
default,blackscholes,lfu,106952.0,110557.0,3.370670955194854,116,895,99.089,895
mild,blackscholes,lfu,103518.0,105618.0,2.028632701559149,116,895,99.089,895
write-heavy,blackscholes,lfu,108720.0,111485.0,2.5432303164091246,116,895,99.089,895
migration-heavy,blackscholes,lfu,112052.0,119507.0,6.653161032377825,116,895,99.089,895
default,canneal,lru,126178.0,129269.0,2.4497138962418172,52,2631,97.353,2631
mild,canneal,lru,114220.0,115906.0,1.4760987567851516,52,2631,97.353,2631
write-heavy,canneal,lru,126594.0,129685.0,2.441663901922682,52,2631,97.353,2631
migration-heavy,canneal,lru,149678.0,155579.0,3.942463154237764,52,2631,97.353,2631
